societe,nature_du_produit,quantite_kilos
بن حميدة,قشريات مثلجة,629
بن حميدة,رخويات مثلجة,388
بن حميدة,أسماك مثلجة,724
ماديترنيان باسكا, نصف مصبرات سمك أزرق,28663
موليس دوس,رخويات حية ذات الصدفتين,3727
