Delegation,Nb_oliviers_en_production,Production_finale_en_tonne,Production_pluviale_en_tonne,Production_irriguee_en_tonne,Nb_huileries_actifs,Quantites_olives_transferees_en_tonne,Production_Huile_en_tonne
جرجيس,53000,1600,1570,30,8,1600,650
بنقر دان,6000,50,40,10,0,0,450
سيدي مخلوف,45000,750,150,600,0,0,150
مدنين الشمالية,14000,350,150,200,1,450,100
مدنين الجنوبية,65000,2700,200,2500,4,3450,350
بني خداش,11000,150,125,25,4,100,50
أجيم,5000,70,70,0,3,70,50
حومة السوق,11000,150,125,25,8,150,100
ميدون,27500,280,220,60,3,280,100
