olives,conduite_culturale,supeficie_cultivee_hectares,production_tonnes
زيتون زيت,en sec,1569,1640
زيتون مائدة,en sec,110,120
زيتون زيت,en irrigué,84,160
زيتون مائدة,en irrigué,10,57
