ISN;Nom;Année;Titre;support
43;Anatomie fonctionnelle et imagerie médicale du carpe du cheval;;;pdf
44;Mohamed Mbarek;2017;suivi zootechnique et sanitaire d'un élevage du loup marin (Dicentrrchus labrax);pdf
45;Ragheb Aouina;2017;Les tumeurs pulmonaires chez le chien chien Etude comparative avec l'homme;pdf
46;hajjaji Jiheb;2017;Contribution à l'étude de l'étiologie de l'anémie hémolyptique chez le chien;Non
47;Donia Barbouche;2017;Radialogie en dentisterie féline;Non
48;ben mahmoud malek;2017;etude de la peévalence;pdf
49;ghaith ben youssef;2017;contribution à l'étude morphologique et lesionnelle de la prostate chez le chien ;Non
50;Bilel sellami;2019;La dirofilariose cardiopulmonaire à dirofilaria immitis chez les chiens du centre militaaire cynotechnique a bizerte Dépistache microscopique et moléculaire;Non
51;TORJEMANE Sarra ;2018;CONTRIBUTION À L'ÉTUDE DE LA PREVALANCE DU GÉNE RESPONSABLE DE SCID CHEZ LE CHEVAL PER-SANG ARABE EN TUNISIE;Non
52;BECHIR Mohamed Taher;2018;CONTRIBUTION A L'ETUDE LESIONNELLE DE LA SAECOSPORIDIOSE CARDIAQUE CHEZ LE DROMADAIRE EN TUNISIE;Non
53;CHIBOUB Houssem;2018;BILAN ACTUEL DES CONNAISSANCES SUR L'ICTERE CHEZ LE CHIEN;Non
54;MAHDOUANI Chaima;2018;CONTRIBUTION A L'ETUDE DE LA TOMODENSITOMETRIE AXIALE DE LA CAVITE THORACIQUE DU CHIEN;Non
55;GUESMI Sondes;2018;"ETUDE MOLECULAIRE DES PRINCIPAUX AGENTS ABORTIFES CHEZ LES BREBIS DANS DIFFERENTES REGIONS DE LA TUNISIE
";Non
56;TRABELSI Linda;2018;LES THYMOMES CHEZ LE CHIEN : ETUDE COMPARATIVE AVEC L'HOMME;Non
57;KETATA Wissem;2018;"
EFFETS DE L'INCORPORATION D'UN COMPLEXE DE ZINC SUR LES PERFORMANCES ET LA QUALITE DEDU POULET DE CHAIR";Non
58;BAKHTI Amel;2019;contribution a l'etude lesionnelle des tumeyrs des glandes circumanales chez le chien;Non
59;ABIDI Achref;2019;diagnostic précoce de non gestation chez les bovins par dosage qualitatif de la progestérone dans le lait;Non
60;CHAOUCHI Amira;2017;etude de l'antibiorésistance des souches d'escherichia coli isolées de poulets de chair et recherche de souches prodctrices de béta-lactamases à spectre étendu dans des élevage du grand tunis et du gouvernorat de nabeul;Non
61;JAIDANE ZOUAOUI Basma;2017;contribution a l'etude de l'echographie abdominale chez les carnivores domestiques;Non
62;EL HASSANI Mohamed ;2018;le pietin chez les petits ruminants en tunisie (enquete retrospective sur dix ans (2007-2017) a l'enmv sidi thabet);Non
63;MRAD Amira;2018;la tuberculose chez les carnivores domestiques : étude comparative avec l'homme;Non
64;ABBASSI Idriss;2018;dépistagr de la fiévre catarrhale du mouton chez les carprins au nord de la tunisie;Non
65;JRIBI Firas;2018;etude bibliographique des activités biologiques de l'ail (allium sativum) et applications en aviculture;Non
66;BEN YOUSSEF Aida;2017;contribution a l'etude des principales maladies infetieuses et parasitaires chez les oiseaux d'ornement dans la region du grand-tunis;Non
67;RMDHANE Rihab;2017;caracterisation de l'etat d'endemie de la theileriose tropicale bovine par le depistage du portage asymptomatique dans la region d'utique, gouvernorat de bizerte;Non
68;ZAIDI Riadh;2018;contribution a l'étude épidémiologique de l'infection tuberculeuse bovine zoonose en tunisie ;Non
69;SEGHAIER Myriam;2017;anatomie topographique et imagerie par resonnance magnetique la cavite abdominale de chien;Non
70;NOUIRA Eya;2018;estimation de l'impact économique du pou rouge des volailles (dermanyssus galliane) sur les élevage avicoles en tunisie;Non
71;JLASSI Amel;2018;pathologie médicale du chien et du chat : etude descriptive sur les population, canine et féline, consultées à l'enmv de sidi thabet pendant la période entre 01/09/2015 et 31/07/2016;Non
72;DRIDI Zeineb;2019;infection rucellique : indicateurs epidemiologiques disponibles en tunisie;Non
73;MOHAMED Mariem;2019;dépistage de la fièvre Q chez des ovins de différentes régions de la tunisie;Non
