ISN;Nom;Année;Titre;support
205;ZAYOUB Amine;2017;Etude lesionnelle des motifs de saisies d'origine parasitaire des ovins à l'abattoire du sers (le kef);Non
206;BOUSNINA Asma;2017;Pathologie nerveuse : enquête descriptive dans la population canine et féline examine à la clinique de l'Ecole Nationale de Médecine Vétérinaire;PDF
207;GHALI Marwa;2017;Imagerie médicale des viscères post-diaphragmatique du chien;Non
208;DHAOUI Anissa;2017;Actualités bibliographiques sur les principales mycoplasmoses des petits ruminants et depistage sérologique de la pleuropneumonie contagieuse caprine (PPCC);PDF
209;JALEL Farah;2017;Application des ortheses en medecine veterinaire : Etude bibliograohique;PDF
210;ABBASSI Fairouz;2017;Contribution à l'étude de l'infestation de la daurade royale Sparus aurata par Enteromyxum leei;PDF
211;LABIDI Imen;2017;Variations biochimiques lors de la leishmaniose canine;PDF
212;TIMOUMI Oumayma;2017;Etude serologique et virologique de la laryngo-tracheite infectieuse aviaire (LTI) dans les élévages du nord de la Tunisie (Grand Tunis et Nabeul);Non
213;SASSI Lazher;2017;Contribution à l'étude de la qualité du lait et la gestion du troupeau bovin laitier dans la ferme : OTD El Alam;PDF
214;MESTIRI Mohamed;2017;Contribution à l'étude anatomo-pathologique des bronchopneumonies infectieuses chez les veaux à l'Ecole Nationale de Médecine Vétérinaire à props de 384 cas autopsiés;PDF
215;GHARBI Oussema;2017;Contribution à l'étude sero-epidemilogique de la leucose bovine enzootique en Tunisie: enquête descriptive dans la delegation de Bou Salem ;PDF
216;OBBI Amina ;2019;Etude de la prévalence de l'antibiorésistance des souches d'Escherichia coli isolées  des fèces d'ovins sains dans le nord de la Tunise;PDF
217;MNAFGUI Nouha;2019;La tuberculose extrapulmonaire chez les bovins : Etude comparative avec l'homme;Non
218;BEN ROMDHANE Kaouther;2019;Rôle potentiel des blattes dans la transmission de bactéries résistantes aux antibiotiques- Application au cas des entérobactéries résistantes aux bêta-lactamines;PDF
219;KAMOUN Habib;2019;Etude de la seroprevalence de la fiévre Q chez le dromadaire dans le centre de la Tunisie;Non
220;CHABCHOUB Rania;2019;Contribution à l'étude morph-biométrique des rougets (Mullus surmuletus et  Mullus barbatus) et leur infestation par les Anisakidés;PDF
221;MILED tej El Molek Malek;2019;Contribution à l'étude de la dentisterie des carnivores domestique;PDF
222;BLIBECH Houda;2018;Biologie des felins sauvages et impact de la captivite sur leur bien-être modele d'étude le lion Panthera léo léo ;PDF
223;BOUBAKER Salma Mariem;2019;Etude de la prévalence et de l'antibiorésistance des souches d'Escherichia coli isolées   de fèces de bovins cliniquement sains de la région de Bizarte;PDF
224;GALAI Néjia;2019;Etude du portage intestinal d'des souches d'Escherichia coli isolées chez des veaux diarrhéiques du gouvernorat de Bizerte : Emergence des souches multirésistantes et productrices de beta;PDF
225;BEN BRAIEK Ayoub;2019;Etude anatomique et tomodensitométrique des sinus paranasaux du dromadaire (camelus dromedarius);PDF
226;FRIKHA Chaima;2019;Etude de l'des souches d'Escherichia coli isolées isolées  de fèces de souches d'Escherichia coli isolées deviande de poulets de chair et recherche de souches productrices de beta--lactamases à spectre étendu;PDF
227;AYACHI Amira;2019;Etude sero-epidemiologique de la chlamydiose abortive chez des brebis de differentes régionsde la Tunisie;PDF
228;DEROUICHE Yossef;2019;Les strongyloses digestive chez les petits ruminants en Tunisie: Revue bibliographique;PDF
229;FERCHICHI Dhouha;2019;Contribution à l'étude anatomopathologique des tumeurs cutanées chez le chat;PDF
230;SHILI Sahar;2019;prévalence et de l'antibiorésistance des souches d'Escherichia coli isolées de féces des équidés de travail sains dans la région du Nord-Ouest;PDF
231;REDID Helmi;2021;Etude des effets des champs ‚lectromagn‚tiques et/ou de l'huile de lentisque sur la cicatrisation des brulures cutan‚es chez le modele lapin;PDF
232;ZAYATI Marwen;2020;Etude de la pr‚valence de la maladie hemorragique virale dans les ‚l‚vages cunicoles Tunisiens et caracterisation moleclaire du virus circlant;PDF
233;ZAAFOURI Safwen;2021;Les ict‚res chez les bovins :Etiopathog‚nie et d‚marche diagnostique ;PDF
234;HAMZA Menel;2021;Etude de l'influence du sex, de l'age,de l'origine du cheval et du poids du cavalier sur la vitesse du Pur-sang Arabe dans les courses plates en Tunisie;PDF
235;BEN HAMDA Faten;2021;Le plasmariche en plaquettes (PRP)dans letraitement localde l'arthrose chez le chien;PDF
236;MAAMER Maram;2021;Contribution … l'‚tude de l'endurance equestre en Tunisie: Situation actuelle et caracterisation de la population chevaline qualifiee dans les courses d'endurance de l'ann‚e 2011-2019;PDF
237;KOUKI Hela;2021;Contribution … l'‚tude lesionnelle de la sarcosporidiose oesophagienne chez les ovins en Tunisie;PDF
238;OMRI Amal;2021;L'urolithiase chez le mouton: Etude retrospective sur cinq ans (2015-2020);PDF
239;MANAI Chaima;2021;Exploration clinique et biochimique du foie chez le belier de combat : Etude retrospective sur 4 ans (2013-2016);PDF
240;KAMOUN Meha;2021;l'utilisation des medicaments a usage humain en neurologie chez le chien en Tunisie;PDF
241;MEDNIN Ines;2021;Les nouveaux animaux de compagnie: risques zoonotiques et prevention;PDF
242;AKRMI Najwa;2021;Etude de principale maladies respiratoires chez les caprins: Application … l'‚tude l‚sionnelle et motifs de saisie des poumons des poumons de caprins … l'abattoir d'el Kef;PDF
243;OUALI Ibtihel;2021;Capture et identification des phelbotomes(Diptera: psychodide) dans la r‚gion de sidi Thabet (Tunisie);PDF
244;SEBEI Feriel;2021;Etude morpho-biometrique du merlu (Merluccius merluccius) et son infection par les anisakides;PDF
245;GUESMI Souha;2021;Contribution a l'etude des principaux motifs de saisie chez les ovins a l'abattoir du grand Tunis;PDF
246;KHALOULI Wiem;2021;Contribution a l'etude de l'anatomie de la poche gutturale chez l'ane (Equus africanus asinus);PDF
247;ABBASSI Kawther;2021;Etude retrospective des affections des poissons re‡us au services d'aquaculture ENMV Sidi Thabet sur la periode allant de 2005 A 2021;PDF
248;BELHOUCHETTE Ines;2021;SynthŠse bibliographique sur la variole du dromadaire en Tunisie;PDF
249;SALEM HMIZI Hechem;2021;S‚ropr‚valence des infections … Influenzavirus A et … Metapneumovirus dans les ‚levages de poulets de chair au Sahel Tunisien;PDF
250;ABDELLAOUI Youssef;2021;Prevalence serologique de la bluetongue chez les ovins et les bovins a Jelma (Sidi Bouzid);PDF
251;LOUATI Nour;2021;Validation de la duree de vie microbiologique : Essais sur le blanc de poulet cuit fum et le jambon de b?uf;PDF
252;DHEHIBI Takwa;2021;La tuberculose nerveuse chez le bovin : Etude comparative avec l'homme;PDF
253;JOMNI Abir;2021;Les coronaviroses animales et humaine: Aspects cliniques, Anatomopathologiques et conduite a tenir;PDF
254;CHIBANI Sarra;2021;Consid‚rations epidemiologiques, Anatomopathologiques et diagnostique de la tuberculose caleline;PDF
255;RAHMENI Arbia;2021;Contribution … l'‚tude  de l'infestation de quatre especes de possons marins de la r‚egion de Kelibia par les anisakides;PDF
256;BOULARES Abir;2021;Contribution … l'‚tude anatomo-pathologique des anomalies cong‚nitales de l'appariel digestif du veau;PDF
257;SRAIRI Sinda;2021;Role de la faune sauvage comme r‚servoir de bact‚ries r‚sistantes aux antibiotiques : applications au sanglier( SUS Scrofa) et aux principales ent‚robact‚ries en Tunisie;PDF
258;HAMADI Imen;2021;Etude de la s‚ropr‚valence des infections … Mycoplasma gallisepticum, Mycoplasma synoviae et Ornithobacterium rhinotracheale dans les ‚levages de poules pondeuses d'?uf de cosommation … Sfax;PDF
259;BEN BRAHIM Safa;2021;Surveillance sanitaire de Six cages de grossissement du loup marin Dicentrarachus labrax;PDF
260;EL GHARBI Houssem Eddine;2021;Actualit‚s bibliographiques sur la fievre catarrhale ovine dans le monde et emergence du serotype 4 chez les bovins en Tunisie;PDF
261;LABIDI Raja;2021;Etude des diff‚rentes interactions entre patamŠtres biochimiques et l'apparition du pyomŠtre chez la chienne ;*
262;SOUISSI Wajdi;2021;Contribution … l'Štude de l'anatomie topographique et de l'histolgie des organes h‚matopoi‚tiques des l'anguille europ‚enne Anguilla anguilla;*
263;BEN SALEM Maryem;2021;Prevalence moleculaire de l'ehrlichiose monocytaire canin chez des chiens symptomatiques en Tunisie;PDF
264;BEN SLIMENE Nour;2021;Apport du plasma riche en plaquette dans la cicatrisation corneenne chez les carnivores domestiques;PDF
265;HAMAMI Omar;2021;Evaluation du bien-etre des ‚quid‚s de travail en Tunisie;PDF
266;BEN ABDALLAH Mariem;2021;Surveillance mol‚culaire et caract‚risation phylog‚ographique d'anaplasma marginale chez des bovins en Tunisie;PDF
267;BEN JABALLAH Emna;2021;Le melanome du chien: Etude comparative avec le melanome de l'homme;PDF
268;ZAKHAMA Oumayma;2022;Contribution … l'‚tude ‚pid‚miologique de la fascilose ovine dans la r‚gion de Sejnane (Nord-Ouest de la Tunisie);PDF
269;WANNASSI Ncira;2022;Dominantes pathologiques infectieuse du lapin domestique (Oryctolagus cuniculus): ‚tude r‚trospective des cas re‡us … la clinique aviaire de L'ENMV (2016-2021);PDF
270;BOUGHANMI Khouloud;2022;La leishmaniose generale du chien: Etude anatomo-pathologique retrospective entre 2015 et 2019;PDF
