Date,nom_ar,nom_fr,unite,valeur
2025-11-08 01:00:00,Température,Température,°C,17.9
2025-11-08 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.7
2025-11-08 00:00:00,Température,Température,°C,18.0
2025-11-08 00:00:00,L'humidité du sol,L'humidité du sol,mV,725.0
2025-11-08 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.7
2025-11-07 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.7
2025-11-07 23:00:00,L'humidité du sol,L'humidité du sol,mV,725.0
2025-11-07 23:00:00,Température,Température,°C,18.2
2025-11-07 22:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.7
2025-11-07 22:00:00,Température,Température,°C,18.4
2025-11-07 22:00:00,L'humidité du sol,L'humidité du sol,mV,725.4
2025-11-07 21:00:00,L'humidité du sol,L'humidité du sol,mV,725.1
2025-11-07 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.7
2025-11-07 21:00:00,Température,Température,°C,18.6
2025-11-07 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.7
2025-11-07 20:00:00,Température,Température,°C,18.7
2025-11-07 20:00:00,L'humidité du sol,L'humidité du sol,mV,725.6
2025-11-07 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.7
2025-11-07 19:00:00,L'humidité du sol,L'humidité du sol,mV,725.3
2025-11-07 19:00:00,Température,Température,°C,18.8
2025-11-07 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.7
2025-11-07 18:00:00,L'humidité du sol,L'humidité du sol,mV,725.7
2025-11-07 18:00:00,Température,Température,°C,18.8
2025-11-07 17:00:00,L'humidité du sol,L'humidité du sol,mV,725.6
2025-11-07 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.7
2025-11-07 17:00:00,Température,Température,°C,18.8
2025-11-07 16:00:00,L'humidité du sol,L'humidité du sol,mV,725.9
2025-11-07 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.7
2025-11-07 16:00:00,Température,Température,°C,18.6
2025-11-07 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.8
2025-11-07 15:00:00,Température,Température,°C,18.5
2025-11-07 15:00:00,L'humidité du sol,L'humidité du sol,mV,726.5
2025-11-07 14:00:00,Température,Température,°C,18.3
2025-11-07 14:00:00,L'humidité du sol,L'humidité du sol,mV,726.7
2025-11-07 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.8
2025-11-07 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.8
2025-11-07 13:00:00,L'humidité du sol,L'humidité du sol,mV,726.5
2025-11-07 13:00:00,Température,Température,°C,18.3
2025-11-07 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.7
2025-11-07 12:00:00,Température,Température,°C,18.3
2025-11-07 12:00:00,L'humidité du sol,L'humidité du sol,mV,726.0
2025-11-07 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.8
2025-11-07 11:00:00,Température,Température,°C,18.4
2025-11-07 11:00:00,L'humidité du sol,L'humidité du sol,mV,726.5
2025-11-07 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.7
2025-11-07 10:00:00,Température,Température,°C,18.4
2025-11-07 10:00:00,L'humidité du sol,L'humidité du sol,mV,725.3
2025-11-07 09:00:00,L'humidité du sol,L'humidité du sol,mV,725.8
2025-11-07 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.7
2025-11-07 09:00:00,Température,Température,°C,18.5
2025-11-07 08:00:00,L'humidité du sol,L'humidité du sol,mV,726.2
2025-11-07 08:00:00,Température,Température,°C,18.6
2025-11-07 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.7
2025-11-07 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.8
2025-11-07 07:00:00,L'humidité du sol,L'humidité du sol,mV,726.5
2025-11-07 07:00:00,Température,Température,°C,18.7
2025-11-07 06:00:00,L'humidité du sol,L'humidité du sol,mV,726.4
2025-11-07 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.7
2025-11-07 06:00:00,Température,Température,°C,18.8
2025-11-07 05:00:00,Température,Température,°C,18.9
2025-11-07 05:00:00,L'humidité du sol,L'humidité du sol,mV,726.6
2025-11-07 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.8
2025-11-07 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.8
2025-11-07 04:00:00,L'humidité du sol,L'humidité du sol,mV,726.7
2025-11-07 04:00:00,Température,Température,°C,19.0
