Annee;Auteur_affil;Isn;Langue;M_coll_auteur;M_lieu_edition;M_titre_orig;Projet_develop;Resume;Titre;source
1982;CNEA;6216;(Fr);CNEA;Tunis;Budget de fonctionnement, gestion 1982;;/Document technique/ sur le /budget de fonctionnement/ du /CNEA/ pour 1982;Budget de fonctionnement, gestion 1982;http://www.onagri.tn/uploads/docagri/6216.PDF
1985;DIR. HYGIENE MILIEU ET PROTECT. ENVIRON. (FR);6234;(Fr);DIR. HYGIENE MILIEU ET PROTECT. ENVIRON. (FR);Tunis;Journées d'étude-eau-santé-environnement, INAT 27-28 février et 1 mars 1985;;/Article/ concern. la surveillance de la /qualité/ des /eau/x de /boisson/ - Données sur l'évaluation des risques sanitaires, les niveaux de surveillance, sur la protection sanitaire des sources d/alimentation en eau potable/ sur les /agent de pollution/. Lutte contre la /pollution des eaux/ et du /sol/. Choix de l'emplacement des /source/s et réalisation des ouvrages de /captage d'eau/ et de /distribution d'eau/. /gestion/, entretien et exploitation des ouvrages. Contrôle de la qualité;Journées d'étude-eau-santé-environnement, INAT 27-28 février et 1 mars 1985;http://www.onagri.tn/uploads/docagri/6234.PDF
1985;DRE;6260;(Fr);DRE;Tunis;Programme de sondages de reconnaissance;;/Document technique/ concern. le programme de /sondage géologique/ envisagé dans les différents /gouvernorat/s;Programme de sondages de reconnaissance;http://www.onagri.tn/uploads/docagri/6260.PDF
1985;DRE;6280;(Fr);DRE;Tunis;Dossier pluviométrique de Tozeur;;/Document technique/ concern. la /pluviométrie/ à /Tozeur/, les /pluie/s journalières, annuelles et mensuelles, la répartition des périodes de /sècheresse/ sur l'année;Dossier pluviométrique de Tozeur;http://www.onagri.tn/uploads/docagri/6280.PDF
1984;DPV;6282;(Fr);DPV;Tunis;Projet de production et de diffusion de plants sélectionnés de pomme de terre;;/Document technique/ sur le projet de /production/ et de /distribution/ de /plant/s de /sélection végétale/ de /pomme de terre/;Projet de production et de diffusion de plants sélectionnés de pomme de terre;http://www.onagri.tn/uploads/docagri/6282.PDF
1981;GID;6287;(Fr);GID;Tunis;Lutte chimique contre le Dys (Imperata cylindrica) dans les oasis;;/Document technique/ concern. la /lutte chimique/ contre les Dys ou /imperata/ dans les /oasis/ - Données sur la /graminée/, sur l/expérimentation/ dans les parcelles, sur le choix des /herbicide/s sur les techniques de /pulverisation/. Etude des /caracteristique/ des herbicides et contrôle de l'efficacité du /desherbage/. /Expérimentation/ au glyphosate et /prix de revient/ du /desherbage chimique/;Lutte chimique contre le Dys (Imperata cylindrica) dans les oasis;http://www.onagri.tn/uploads/docagri/6287.PDF
1984;DRE;6294;(Fr);DRE;Tunis;Dossier pluviométrique du Sfax, année 1984;;/Document technique/ concern. la /pluviométrie/ à la /station météorologique/ de /Sfax/ - /Analyse statistique/ relative aux répartitions journalière, mensuelle et annuelle des /pluie/s;Dossier pluviométrique du Sfax, année 1984;http://www.onagri.tn/uploads/docagri/6294.PDF
1984;DPA;6302;(Fr);DPA;Tunis;Séminaire sur la nutrition animale, Tunis le 25 et 26 avril 1984;;/Article/ concern. des micro-ingrédients en /alimentation animale/ - Classification des micro /élément chimique/, des micro constituants de l'aliment, des micro constituants de nécessité, des micro constituants a risque de toxicité;Séminaire sur la nutrition animale, Tunis le 25 et 26 avril 1984;http://www.onagri.tn/uploads/docagri/6302.PDF
1984;OMVPI, GABESOMVPI, MEDENINE;6356;(Fr);OMVPI, GABESOMVPI, MEDENINE;Tunis;Rapport annuel 1984;;;Rapport annuel 1984;http://www.onagri.tn/uploads/docagri/6356.PDF
1985;DIR. CES;6536;(Fr);DIR. CES;Tunis;Plan quinquennal 1982-1986. programme des travaux de CES, gestion 1986, ventilation des credits par action et par projet programme national;;/Document technique/ concernant le plan de developpement economique quinquennal 1982-1986 relatif au ventilation des /credit/s par action et par projet. des /conservation des eaux/ et /conservation des sols/ - /Operation de credit/ pour chaque /gouvernorat/. Prevision /gestion financiere/ et ventilations des credits pour le /budget/ 1986;Plan quinquennal 1982-1986. programme des travaux de CES, gestion 1986, ventilation des credits par action et par projet programme national;http://www.onagri.tn/uploads/docagri/6536.PDF
1985;Camus, H.;6539;(Fr);DRE;Tunis;Etude pluviometrique des bassins versants des Oueds Zeroud et Merguellil;;/Document technique/ concernant la /pluviometrie/ des /bassin versant/ des /Oued Zeroud/ et /Oued Merguellil/ - Donnees sur les /homogeneisation/s des donnees pluviometriques, la constitution d'un /fichier documentaire/ relatif a la pluviometrie. Donnees sur l'extension des donnees homogeneisees, sur la periode correspondant a celle de l'homogeneisation et a l'extension sur la periode 1925-1926 a 1980-1981. /Analyse statistique/ concernant la pluviometrie annuelle, les /precipitation/s mensuelles et journalieres. Isohyeses annuelles et /pluie/s exceptionnelles;Etude pluviometrique des bassins versants des Oueds Zeroud et Merguellil;http://www.onagri.tn/uploads/docagri/6539.PDF
1986;DIR. SOLS;6576;(Fr);DIR. SOLS;Tunis;Carte des ressources en sols de la Tunisie. Feuille de Zarzis;;/Carte/ des /ressources en sol/. Feuille de /Zarzis/ - Données sur la géologie, le /climat/ la /couverture vegetale/, sur les /type de sol/, le comportement de l/eau/. Critères de classement des sols et répartition régionale des ressources en sols;Carte des ressources en sols de la Tunisie. Feuille de Zarzis;http://www.onagri.tn/uploads/docagri/6576.PDF
1982;CNDA;6583;(Fr);CNDA;Tunis;Rapport d'activité du centre national de documentation agricole, année 1982;;;Rapport d'activité du centre national de documentation agricole, année 1982;http://www.onagri.tn/uploads/docagri/6583.PDF
1983;CNDA;6584;(Fr);CNDA;Tunis;Rapport d'activité du centre national de documentation agricole année 1983;;/Rapport d'activité/ du /CNDA/ 1983 - Données sur la /documentation/ agricole et l'/informatique/;Rapport d'activité du centre national de documentation agricole année 1983;http://www.onagri.tn/uploads/docagri/6584.PDF
1984;CNDA;6585;(Fr);CNDA;Tunis;Rapport d'activité du centre national de documentation agricole, année 1984;;/Rapport d'activité/ du /CNDA/ 1984 - Données sur la /documentation/ agricole et l'/informatique/;Rapport d'activité du centre national de documentation agricole, année 1984;http://www.onagri.tn/uploads/docagri/6585.PDF
1985;CNDA;6586;(Fr);CNDA;Tunis;Rapport d'activité du centre national de documentation agricole, année 1985;;/Rapport d'activité/ du /CNDA/ 1985 - Données sur la /documentation/ agricole et l'/informatique/;Rapport d'activité du centre national de documentation agricole, année 1985;http://www.onagri.tn/uploads/docagri/6586.PDF
1986;CNDA;6587;(Fr);CNDA;Tunis;Rapport d'activité du centre national de documentation agricole, année 1986;;/Rapport d'activité/ du /CNDA/ 1986 - Données sur la /documentation/ agricole et l'/informatique/;Rapport d'activité du centre national de documentation agricole, année 1986;http://www.onagri.tn/uploads/docagri/6587.PDF
1987;CNDA;6588;(Fr);CNDA;Tunis;Rapport d'activité du centre national de documentation agricole année 1987;;/Rapport d'activité/ du /CNDA/ 1987 - Données sur la /documentation/ agricole et l'/informatique/;Rapport d'activité du centre national de documentation agricole année 1987;http://www.onagri.tn/uploads/docagri/6588.PDF
1988;CNDA;6589;(Fr);CNDA;Tunis;Rapport d'activité du centre national de documentation agricole année 1988;;/Rapport d'activité/ du /CNDA/ 1988 - Données sur la /documentation/ agricole et l'/informatique/;Rapport d'activité du centre national de documentation agricole année 1988;http://www.onagri.tn/uploads/docagri/6589.PDF
1988;DGRE;6590;(Fr);DGRE;Tunis;Etude hydrogéologique de la plaine de Téboursouk;;/Document technique/ relatif à l'/hydrogéologie/ de la plaine de /Teboursouk/ - Etude de la /climatologie/, la /stratigraphie/. Données sur la /nappe phréatique/ de Khalled la /piézométrie/, la /nappe profonde/;Etude hydrogéologique de la plaine de Téboursouk;http://www.onagri.tn/uploads/docagri/6590.PDF
1989;DGRE;6591;(Fr);DGRE;Tunis;Hydrologie du lac de Bizerte;;/Document technique/ relatif à l'/hydrologie/ du /lac de Bizerte/ - Etude du /milieu physique/ notamm. les unités de la /géomorphologie/, la /climatologie/, l'/évaporation d'eau/, le /vent/, la /pluviométrie/, le /ruissellement/, les /débit/s et les /transports solides/ - Présentation des cartes du /bassin versant/ et des /oued/s du système du lac de Bizerte : /oued Guenine/, /oued Ben Hassine/, oued Soula, oued Hattat, oued Douamis, oued el Gouraya, oued El Garek, oued Tliba, oued Cheghi, oued El Khima, /oued Gueniche/, oued Jedara, oued Merazig, oued Abbes El Merj et oued El Haima;Hydrologie du lac de Bizerte;http://www.onagri.tn/uploads/docagri/6591.PDF
1989;DGRE;6594;(Fr);DGRE;Tunis;Etude Hydrogéologique de la nappe phréatique de M'ziraa-oued Aid;;/Document technique/ portant étude des /caractéristique/s /hydrogéologie/ques, techniques /physique/s et /chimie/ques de la /nappe phréatique / de la /plaine/ M'ziraa-oued ain dans la région de /Gabès/;Etude Hydrogéologique de la nappe phréatique de M'ziraa-oued Aid;http://www.onagri.tn/uploads/docagri/6594.PDF
1989;DGRE;6595;(Fr);DGRE;Tunis;Situation pluviométrique et Hydrologique du mois d'Août 1989;;/Document technique/ relatif à la situation /pluviométrie/que et /hydrologie/que durant le mois d'août 1989 - Quantité de /pluie/ cumulée dans les régions du /Nord Est Tunisien/, /Nord Ouest Tunisien/, /sahel/, /Tunisie du centre/ et /Tunisie du sud/. Principales /crue/s enrégistrées et évaluation des volumes apportés dans les différents /barrage/s;Situation pluviométrique et Hydrologique du mois d'Août 1989;http://www.onagri.tn/uploads/docagri/6595.PDF
1989;DGRE;6596;(Fr);DGRE;Tunis;Evaluation de l'impact des travaux de C.E.S.: Résultats de la première campagne de mesures sur les micro-bassins de Tebaga (région de Sbeitla) anné1987-1988;;/Document technique/ étudiant les résultats de mesures sur les micro-bassins de Tebaga dans la région de /Sbeitla/ - Etude ayant pour objectif l'évaluation de l'impact des travaux de /conservation des eaux/ et de /conservation des sols/ - Données concern. la /géomorphologie/, la /climatologie/, la /pluviométrie / et les /transports solides/;Evaluation de l'impact des travaux de C.E.S.: Résultats de la première campagne de mesures sur les micro-bassins de Tebaga (région de Sbeitla) anné1987-1988;http://www.onagri.tn/uploads/docagri/6596.PDF
1988;DGRE;6598;(Fr);DGRE;Tunis;Etude hydrogéologique préliminaire de la plaine de Touiref;;/Document technique/ sur l'/hydrogéologie/ de la /plaine/ de /Touiref/ - Etude de l'/hydrologie/, la /pluviométrie/, la /géologie/, la /tectonique/, la /nappe profonde/, la /nappe phréatique/ et des /eau de surface/;Etude hydrogéologique préliminaire de la plaine de Touiref;http://www.onagri.tn/uploads/docagri/6598.PDF
1989;DGPDIA;6599;(Fr);DGPDIA;Tunis;Note de conjoncture No. 6;;/Note technique/ concern. la /conjoncture/ dans le /secteur agricole/ - Données sur la situation des /barrage/s, la culture des /céréales/, les /légumineuse/s, la /betterave sucrière/, le /maraichage/, l'/arboriculture/, l'/élevage/, les apports au /marche de gros/ et /commerce exterieur/;Note de conjoncture No. 6;http://www.onagri.tn/uploads/docagri/6599.PDF
1989;DGPDIA;6600;(Fr);DGPDIA;Tunis;Note de conjoncture No 7;;/Note technique/ concern. la /conjoncture/ dans le /secteur agricole/ - Données sur la situation des /barrage/s, la culture des /céréales/, les /légumineuse/s, la /betterave sucrière/, le /maraichage/, l'/arboriculture/, l'/élevage/, les apports au /marche de gros/ et /commerce exterieur/;Note de conjoncture No 7;http://www.onagri.tn/uploads/docagri/6600.PDF
1989;DGPDIA;6601;(Fr);DGPDIA;Tunis;Note de conjoncture No. 8;;/Note technique/ concern. la /conjoncture/ dans le /secteur agricole/ - Données sur la situation des /barrage/s, la culture des /céréales/, les /légumineuse/s, la /betterave sucrière/, le /maraichage/, l'/arboriculture/, l'/élevage/, les apports au /marche de gros/ et /commerce exterieur/;Note de conjoncture No. 8;http://www.onagri.tn/uploads/docagri/6601.PDF
1989;DGRCNEA;6602;(Fr);DGRCNEA;Tunis;Etude des possibilités et limites des A.I.C: analyse de la situation actuelle, oasis isolées de Kébilli (2. lot);;/Document technique/ relatif à l'étude des possibilités et limites des /AIC/ des /oasis/ de /Kebili/ - Données sur le /budget/ et l'/aménagement hydraulique/ par AIC;Etude des possibilités et limites des A.I.C: analyse de la situation actuelle, oasis isolées de Kébilli (2. lot);http://www.onagri.tn/uploads/docagri/6602.PDF
1989;DGPDIA;6603;(Fr);DGPDIA;Tunis;Note de conjoncture n.2;;/Note technique/ concern. la /conjoncture/ dans le /secteur agricole/ - Données sur la situation des /barrage/s, la culture des /céréales/, les /légumineuse/s, la /betterave sucrière/, le /maraichage/, l'/arboriculture/, l'/élevage/, les apports au /marche de gros/ et /commerce exterieur/;Note de conjoncture n.2;http://www.onagri.tn/uploads/docagri/6603.PDF
1988;DGRHADGRECRGR;6611;(Fr);DGRHADGRECRGR;TUNIS;Participation au séminaire national sur la problématique des eaux;;/Rapport de mission /effectué en /Algerie/ en 1989 passant en revue les approches adoptées dans les pays du /maghreb/ en matière d'/exploitation de nappe/ de /gestion/ - des /ressources en eau/ et d'/irrigation/, dans le domaine de la /pollution des eaux/, du /traitement des eaux usées/ et du /désalinisation/ des /eau/x;Participation au séminaire national sur la problématique des eaux;http://www.onagri.tn/uploads/docagri/6611.PDF
