Annee;Auteur_affil;Isn;Langue;M_coll_auteur;M_lieu_edition;M_titre_orig;Projet_develop;Resume;Titre;source
1975;DPA;1;(FR);DPA;TUNIS;RAPPORT D'ACTIVITE DE LA DIRECTION DE LA PRODUCTION AGRICOLE, CAMPAGNE 1973-1974;;/RAPPORT D'ACTIVITE/ DES DIFFERENTS SERVICES AGRICOLES SUR LA /PRODUCTION AGRICOLE/ EN TUNISIE - CE RAPPORT PRESENTE PAR /GOUVERNORAT/ L'ANNEE AGRICOLE 1973-1974 .;RAPPORT D'ACTIVITE DE LA DIRECTION DE LA PRODUCTION AGRICOLE, CAMPAGNE 1973-1974;http://www.onagri.tn/uploads/docagri/1.PDF
1975;ONH;3;(FR);ONH;Tunis;2. Cours international de perfectionnement oleicole, 27 janvier-14 mars 1975. Boughrara, Sfax;FAO/SIDA/TUN-2;Cours pour la /formation professionnelle/ en matiere de culture d/olivier/s au /Maghreb/ et en /Syrie/ - /Formation continue/ et /établissement d'enseignement/ en Tunisie;2. Cours international de perfectionnement oleicole, 27 janvier-14 mars 1975. Boughrara, Sfax;http://www.onagri.tn/uploads/docagri/3.PDF
1975;BEN-ATTIA, A.;7;(FR);OEP;TUNIS;PROBLEMES POSES AU SECTEUR DE LA PRODUCTION LAITIERE;;NOTE SUR LES PROBLEMES POSES A L /INDUSTRIE ALIMENTAIRE/ CONCERN. LES /PRODUIT LAITIER/ S - TABLEAU SUR LES /IMPORTATION/ S DE /LAIT/. /COUT DE PRODUCTION/ ET VARIATION DU /PRIX DE REVIENT/ DU LITRE POUR ELEVAGE INTEGRE OU TRADITIONNEL;PROBLEMES POSES AU SECTEUR DE LA PRODUCTION LAITIERE;http://www.onagri.tn/uploads/docagri/7.PDF
1974;DPA;9;(FR);DPA;TUNIS;SITUATION ACTUELLE DU SECTEUR CEREALIER ET PERSPECTIVES D'AMELIORATION DE LA PRODUCTION;;SITUATION ET EVOLUTION DES /SUPERFICIES CULTIVEES/ EN /CEREALES/ ET /PLANTE FOURRAGERE/ DE 1972 A 1975 AVEC /COUT DE PRODUCTION/ ET /FACTEUR DE PRODUCTION/ - /BLE DUR/ , /BLE TENDRE/ , /ORGE/ , /VESCE AVOINE/;SITUATION ACTUELLE DU SECTEUR CEREALIER ET PERSPECTIVES D'AMELIORATION DE LA PRODUCTION;http://www.onagri.tn/uploads/docagri/9.PDF
1975;MIN. AGR.;10;(FR);MIN. AGR.;TUNIS;PROJET DE PROMOTION DU SECTEUR CEREALIER;;PROMOTION DU SECTEUR CEREALIER PAR /SUBVENTION/ DE L'ETAT. ETUDE DES /PRODUCTION/S, /COUT DE PRODUCTION/ , /IMPORTATION/ DES /CEREALES/ ET /FOURRAGE/S - TABLEAU DES/INVESTISSEMENT/ S ET /SUPERFICIES CULTIVEES/ EN /VESCE AVOINE/ , /BLE DUR/ , /BLE TENDRE/ ET /ORGE/;PROJET DE PROMOTION DU SECTEUR CEREALIER;http://www.onagri.tn/uploads/docagri/10.PDF
1975;CRGR;11;(FR);CRGR;TUNIS;COMPTE RENDU DE LA CAMPAGNE, HIVER 1973-1974;;/EXPERIMENTATION/ SUR LA /BETTERAVE SUCRIERE/ A /CHERFECH/ AVEC /PROFIL HYDRIQUE DU SOL/ - /CALENDRIER D'IRRIGATION/ ET REPONSE DES /HERBICIDE/S;COMPTE RENDU DE LA CAMPAGNE, HIVER 1973-1974;http://www.onagri.tn/uploads/docagri/11.PDF
1975;DIV. VA;12;(FR);DIV. VA;TUNIS;LA CULTURE DE L'OLIVIER;;DOCUMENT DE /VULGARISATION AGRICOLE/ SUR LA CULTURE DE L/OLIVIER/;LA CULTURE DE L'OLIVIER;http://www.onagri.tn/uploads/docagri/12.PDF
1975;LIMAIEM, S.;24;(FR);CRGR;CHOTT MARIEM;CULTURE, DE LA TOMATE DE PRIMEUR, TAILLAGE DES CULTURES, PRODUCTION DES PLANTS, LES GRANDS ABRIS PLASTIQUES, RAYONNEMENT DE LA STATION;;/RAPPORT D'ACTIVITE/ DE LA STATION DE /CHOTT MARIEM/ SUR /CULTURE ABRITEE/ DES /PLANTE MARAICHERE/S - /CULTURE HORS SAISON/ DES /TOMATE/ , /POMME DE TERRE/ ET /MELON/ . ETUDE SUR LES /SERRE/S EN /MATIERE PLASTIQUE/ ET LA PREPARATION DES /PEPINIERE/S SUR LA PRODUCTION DES PLANTS;CULTURE, DE LA TOMATE DE PRIMEUR, TAILLAGE DES CULTURES, PRODUCTION DES PLANTS, LES GRANDS ABRIS PLASTIQUES, RAYONNEMENT DE LA STATION;http://www.onagri.tn/uploads/docagri/24.PDF
1975;DRE;30;(FR);DRE;TUNIS;ANNUAIRE PLUVIOMETRIQUE  DE LA  TUNISIE 1969-1970;;/Annuaire/ relatif à la /pluviométrie/ de la /Tunisie/  - Réparation des /pluie/s journalières, mensuelles et annuelles selon les bassins et les /gouvernorat/s\n;ANNUAIRE PLUVIOMETRIQUE  DE LA  TUNISIE 1969-1970;http://www.onagri.tn/uploads/docagri/30.PDF
1975;ZOUAOUI, A.KALLEL, M.R.;32;(FR);DRE;TUNIS;DOSSIER PLUVIOMETRIQUE DE TUNIS-MANOUBIA;;/DOCUMENT DE SYNTHESE/ SUR LES /PLUIE/S ENREGISTREES A LA /STATION METEOROLOGIQUE/ DE /TUNIS/ MANOUBIA DE 1873 A 1971;DOSSIER PLUVIOMETRIQUE DE TUNIS-MANOUBIA;http://www.onagri.tn/uploads/docagri/32.PDF
1974;BEN SALAH, A.REZGUI, M.H.;39;(FR);DIV. SOLS;TUNIS;ETUDE PEDOLOGIQUE DES PERIMETRES IRRIGUES POUR LA SOMNIVAS. GOUVERNORAT DE GABES ET DE MEDENINE;;ETUDE DE /PEDOLOGIE/ DES /PERIMETRE D'IRRIGATION/ DE LA /SONMIVAS/ A /BLIDET/ , /LIMAGUESES/ , /TADINA/ , /SIDI MAKHLOUF/ ET /EL FJE/ - ETUDE DE LA /POTENTIALITE DES SOLS/ ET DE LEUR MISE EN VALEUR;ETUDE PEDOLOGIQUE DES PERIMETRES IRRIGUES POUR LA SOMNIVAS. GOUVERNORAT DE GABES ET DE MEDENINE;http://www.onagri.tn/uploads/docagri/39.PDF
1974;DIV. SOLS;40;(FR);DIV. SOLS;TUNIS;APTITUDES CULTURALES DES SOLS EN TUNISIE EN IRRIGUE ET EN SEC;;ETUDE GENERALE SUR LA /POTENTIALITE DES SOLS/ DE TUNISIE POUR LES /SUPERFICIES CULTIVEES/ AVEC /CARTE PEDOLOGIQUE/ - /CULTURE EN SEC/ ET /CULTURE IRRIGUEE/;APTITUDES CULTURALES DES SOLS EN TUNISIE EN IRRIGUE ET EN SEC;http://www.onagri.tn/uploads/docagri/40.PDF
1975;FAO;42;(FR);FAO;TUNIS;EXPERIMENTATION DE LUTTE ANTI EROSION DANS LES SOLS DE MARNE - LISTE DES VARIETES UTILISEES DANS LES ZONE ARIDE ET ZONE SEMI ARIDE;FAO/PNUD/TUN-71/540;/EXPERIMENTATION/ DE /LUTTE ANTI EROSION/ DANS LES /SOL/S DE /MARNE/ - LISTE DES /VARIETE/S UTILISEES DANS LES /ZONE ARIDE/ ET /ZONE SEMI ARIDE/;EXPERIMENTATION DE LUTTE ANTI EROSION DANS LES SOLS DE MARNE - LISTE DES VARIETES UTILISEES DANS LES ZONE ARIDE ET ZONE SEMI ARIDE;http://www.onagri.tn/uploads/docagri/42.PDF
1973;MIN. AGR.;50;(FR);MIN. AGR.;TUNIS;EXPERIMENTATION SUR L'ACTION DU PAILLAGE REGION DU CAP BON ET DE TUNIS SUR LA CROISSANCE VEGETALE ET LE BESOIN EN EAU DE LORANGER MALTAISE - PAILLAGE EN MATIERE PLASTIQUE OU PAILLAGE;;/EXPERIMENTATION/ SUR L'ACTION DU /PAILLAGE/ REGION DU CAP BON ET DE TUNIS SUR LA /CROISSANCE VEGETALE/ ET LE /BESOIN EN EAU/ DE L/ORANGER/ MALTAISE - PAILLAGE EN /MATIERE PLASTIQUE/ OU /PAILLAGE/;EXPERIMENTATION SUR L'ACTION DU PAILLAGE REGION DU CAP BON ET DE TUNIS SUR LA CROISSANCE VEGETALE ET LE BESOIN EN EAU DE LORANGER MALTAISE - PAILLAGE EN MATIERE PLASTIQUE OU PAILLAGE;http://www.onagri.tn/uploads/docagri/50.PDF
1975;IONESCO, T.CABEE, M.SCHWEISGUTH, D. (FAO);55;(FR);IONESCO, T.CABEE, M.SCHWEISGUTH, D. (FAO);TUNIS;PERIMETRE D'AMELIORATION PASTORALE OTD DE SBEITLA. 2. ANNEE DE L'ELEVAGE 1973-74;FAO/PNUD/TUN-71/525;NOTE SUR L/AMELIORATION DES PARCOURS/ DE L'OTD DE /SBEITLA/ - ETUDE DU /CALENDRIER D'ELEVAGE/ ET DE L' /AMENAGEMENT DES PARCOURS/;PERIMETRE D'AMELIORATION PASTORALE OTD DE SBEITLA. 2. ANNEE DE L'ELEVAGE 1973-74;http://www.onagri.tn/uploads/docagri/55.PDF
1974;IONESCO, T.CABEE, M.SCHWEISGUTH, D. (FAO);56;(FR);IONESCO, T.CABEE, M.SCHWEISGUTH, D. (FAO);TUNIS;AMELIORATIONS PASTORALES, PERIMETRE O. T.D DE SBEITLA (GOUVERNORAT DE KASSERINE) . 3. ANNEE D'ELEVAGE ET PROGRAMME A LONG TERME;FAO/PNUD/TUN-71/525FAO/PNUD/TUN-69/001;/AMELIORATION DES PARCOURS/ DU PERIMETRE OTD DE /SBEITLA/ - RESULTAT D/EXPERIMENTATION/ ET D/AMENAGEMENT DES PARCOURS/ ET PROGRAMME A LONG TERME;AMELIORATIONS PASTORALES, PERIMETRE O. T.D DE SBEITLA (GOUVERNORAT DE KASSERINE) . 3. ANNEE D'ELEVAGE ET PROGRAMME A LONG TERME;http://www.onagri.tn/uploads/docagri/56.PDF
1973;MIN. AGR.;57;(FR);MIN. AGR.;TUNIS;NOTICE EXPLICATIVE DE LA CARTE DE VEGETATION DE OGLAT MERTEBA ET MARETH AVEC DESCRIPTION DES ASSOCIATION VEGETALES AVEC SUPERFICIES;;/NOTICE EXPLICATIVE/ DE LA /CARTE DE VEGETATION/ DE /OGLAT MERTEBA/ ET /MARETH/ AVEC DESCRIPTION DES /ASSOCIATION VEGETALE/S AVEC SUPERFICIES;NOTICE EXPLICATIVE DE LA CARTE DE VEGETATION DE OGLAT MERTEBA ET MARETH AVEC DESCRIPTION DES ASSOCIATION VEGETALES AVEC SUPERFICIES;http://www.onagri.tn/uploads/docagri/57.PDF
1972;MIN. AGR.;60;(FR);MIN. AGR.;TUNIS;ETUDE DE LA CONCURRENCE VITALE ENTRE GENOTYPES SUR LA BIOLOGIE DES ASSOCIATION VEGETALES ET BIOMETRIE . EXPERIMENTATION SUR LUZERNE;;ETUDE DE LA /CONCURRENCE VITALE/ ENTRE /GENOTYPE/S SUR LA /BIOLOGIE/ DES /ASSOCIATION VEGETALE/S ET /BIOMETRIE/ . /EXPERIMENTATION/ SUR /LUZERNE/;ETUDE DE LA CONCURRENCE VITALE ENTRE GENOTYPES SUR LA BIOLOGIE DES ASSOCIATION VEGETALES ET BIOMETRIE . EXPERIMENTATION SUR LUZERNE;http://www.onagri.tn/uploads/docagri/60.PDF
1975;OC;123;(FR);OC;TUNIS;RAPPORT ANNUEL 1974 (OFFICE DES CEREALES);;/RAPPORT D'ACTIVITE/ SUR LES /CEREALES/ - /PRODUCTION/ ET /RENDEMENT/ DES DIFFERENTES /VARIETE/S DE /BLE DUR/ , /BLE TENDRE/ ET /ORGE/;RAPPORT ANNUEL 1974 (OFFICE DES CEREALES);http://www.onagri.tn/uploads/docagri/123.PDF
1975;PRODUCTION AGRICOLE;124;(FR);PRODUCTION AGRICOLE;TUNIS;ETUDE DE LA CONCURRENCE VITALE ENTRE GENOTYPES SUR LA BIOLOGIE DES ASSOCIATION VEGETALES ET BIOMETRIE . EXPERIMENTATION SUR LUZERNE;;PANORAMA SUR LA /PRODUCTION AGRICOLE/ EN 1974-1975;ETUDE DE LA CONCURRENCE VITALE ENTRE GENOTYPES SUR LA BIOLOGIE DES ASSOCIATION VEGETALES ET BIOMETRIE . EXPERIMENTATION SUR LUZERNE;http://www.onagri.tn/uploads/docagri/124.PDF
1975;OMVVM PPI;127;(FR);OMVVM PPI;TUNIS;OBJECTIFS ET REALISATIONS DE OMVVM / PPI;;REALISATION DE L /OMVVM PPI/ - /DONNEES NUMERIQUES/ CONCERN. LES /STRUCTURES FONCIERES/ , LES /SUPERFICIES IRRIGUEES/ , LA /PRODUCTION VEGETALE/;OBJECTIFS ET REALISATIONS DE OMVVM / PPI;http://www.onagri.tn/uploads/docagri/127.PDF
1975;DGPA;138;(FR);DGPA;TUNIS;ETUDE SUR LA REPRODUCTION ANIMALE DES SERRANS, SERRANUS CABRILLA, SERRANUS HEPATUS ET SERRANUS SCRIBA DE LA MER MEDITERRANEE - ETUDE DE LA REPRODUCTION SEXUEE DES SERRANS PECHES DANS LE GOLFE DE TUNIS. EPOQUE DE PONTE;;ETUDE SUR LA /REPRODUCTION ANIMALE/ DES /SERRAN/S, SERRANUS CABRILLA, SERRANUS HEPATUS ET SERRANUS SCRIBA DE LA /MER MEDITERRANEE/ - ETUDE DE LA /REPRODUCTION SEXUEE/ DES SERRANS PECHES DANS LE GOLFE DE TUNIS. EPOQUE DE /PONTE/;ETUDE SUR LA REPRODUCTION ANIMALE DES SERRANS, SERRANUS CABRILLA, SERRANUS HEPATUS ET SERRANUS SCRIBA DE LA MER MEDITERRANEE - ETUDE DE LA REPRODUCTION SEXUEE DES SERRANS PECHES DANS LE GOLFE DE TUNIS. EPOQUE DE PONTE;http://www.onagri.tn/uploads/docagri/138.PDF
1975;DGRSCET-TN;139;(FR);DGRSCET-TN;TUNIS;ETUDE DE'ALIMENTATION EN EAU DE LA SNTC ET DES PERIMETRES IRRIGUES DE KASSERINE;;AVANT PROJET POUR L /ALIMENTATION EN EAU/ DE L /USINE/ DE CELLULOSE DE LA VILLE ET DES /PERIMETRE D'IRRIGATION/ DE /KASSERINE/ - /RESSOURCES EN EAU/ ET /BESOIN EN EAU/ .ETUDE DE /MISE EN VALEUR AGRICOLE/ DES PERIMETRES IRRIGUES. INVENTAIRE DES /EQUIPEMENT HYDRAULIQUE/. ETAT DU /RESEAU D'IRRIGATION/ . /CARTE PEDOLOGIQUE/ ET /POTENTIALITE DES SOLS/;ETUDE DE'ALIMENTATION EN EAU DE LA SNTC ET DES PERIMETRES IRRIGUES DE KASSERINE;http://www.onagri.tn/uploads/docagri/139.PDF
1975;RICOLVI, M.;140;(FR);DRE;TUNIS;ALIMENTATION EN EAU POTABLE DE DJERBA, ZARZIS, BEN GARDANE;;"ETUDE D /HYDROGEOLOGIE/ POUR L /ALIMENTATION EN EAU POTABLE/ DE /DJERBA/ . /ZARZIS/ ET /BEN GARDANE/ - RAPPORT DE /SONDAGE GEOLOGIQUE/ NO. IRH 16694: 5; 16691: 5; 16708: 5; 16709: 5 COUPES HYDROGEOLOGIQUES ET MESURE PAR /PIEZOMETRE/";ALIMENTATION EN EAU POTABLE DE DJERBA, ZARZIS, BEN GARDANE;http://www.onagri.tn/uploads/docagri/140.PDF
1974;HAMZA, M.OTHMAN, B.;141;(FR);DRE;TUNIS;ALIMENTATION EN EAU POTABLE DE MESSIOUTA;;"ETUDE DE L /ALIMENTATION EN EAU POTABLE/ DE BLED /MESSYOUTA/ - RESULTAT D'/ESSAI DE DEBIT/ SUR DIFFERENTS PUITS NO. IRH 172; 8416; 1009 ET 8807";ALIMENTATION EN EAU POTABLE DE MESSIOUTA;http://www.onagri.tn/uploads/docagri/141.PDF
1975;MEKRAZI, A.F.;142;(FR);DRE;TUNIS;NOTE D'IMPLANTATION DE DEUX FORAGES DE RECONNAISSANCE DANS LA REGION DE GABES-NORD;;RAPPORT DE /SONDAGE GEOLOGIQUE/ POUR ETUDE D/HYDROGEOLOGIE/ A /DRAA OUDREF/ ET /EL HAMMA/ NORD;NOTE D'IMPLANTATION DE DEUX FORAGES DE RECONNAISSANCE DANS LA REGION DE GABES-NORD;http://www.onagri.tn/uploads/docagri/142.PDF
1975;TALBOT, A.DAGHRIR, O.;143;(FR);DRE;TUNIS;COMPTE-RENDU DE FIN DE TRAVAUX DU FORAGE: AIN BEIDA;;RAPPORT DE /FORAGE D'EAU/ A /AIN EL BAIDHA/ POUR L /ALIMENTATION EN EAU POTABLE/ DE /EL KEF/ - NO. IRH 5412: 3;COMPTE-RENDU DE FIN DE TRAVAUX DU FORAGE: AIN BEIDA;http://www.onagri.tn/uploads/docagri/143.PDF
1974;MEKRAZI, A.F.;144;(FR);DRE;TUNIS;ETAT D'AVANCEMENT DES TRAVAUX SUR LES FORAGES DE RECONNAISSANCE DANS LA REGION DU DAHAR;;"DONNEES SUR L/HYDROGEOLOGIE/ CONCERN. LES /FORAGE D'EAU/ DE /GUELB MIZNA/, /FOUET/ ET MEDJINA IMPLANTES POUR L /ALIMENTATION EN EAU/ DES /PARCOURS/ - NO. IRH 13998:5; 13998 BIS:5; 16704:5";ETAT D'AVANCEMENT DES TRAVAUX SUR LES FORAGES DE RECONNAISSANCE DANS LA REGION DU DAHAR;http://www.onagri.tn/uploads/docagri/144.PDF
1975;TALBOT, A.HENCHI, H.;145;(FR);DRE;TUNIS;COMPTE-RENDU DE FIN DES TRAVAUX DU FORAGE: KANGUET KEF-TOUT;;RAPPORT DE /FORAGE D'EAU/ POUR LE /DRAINAGE/ DE LA MINE DE /KANGUET KEF TOUT/ - NO. IRH 7381:1;COMPTE-RENDU DE FIN DES TRAVAUX DU FORAGE: KANGUET KEF-TOUT;http://www.onagri.tn/uploads/docagri/145.PDF
1975;DGR;147;(FR);DGR;TUNIS;PERIMETRE IRRIGUE D'EL FREDJ-NEFTA;;/DOCUMENT TECHNIQUE/ SUR L /EQUIPEMENT HYDRAULIQUE/ DU /PERIMETRE D'IRRIGATION/ D /EL FREDJ/;PERIMETRE IRRIGUE D'EL FREDJ-NEFTA;http://www.onagri.tn/uploads/docagri/147.PDF
1975;DGR;149;(FR);DGR;TUNIS;ASSAINISSEMENT DE LA PLAINE DES ZOUARINES (EBBA-KSOUR);;ETUDE DE L/ASSAINISSEMENT AGRICOLE/ DE LA PLAINE DE /ZOUARINE/ - DONNEES SUR LE /RESEAU DE DRAINAGE/;ASSAINISSEMENT DE LA PLAINE DES ZOUARINES (EBBA-KSOUR);http://www.onagri.tn/uploads/docagri/149.PDF
1975;DREFC;162;(FR);DREFC;TUNIS;LA CULTURE DU MELON ET DE LA PASTEQUE;;/VULGARISATION AGRICOLE/ DES /TECHNIQUE CULTURALE/S CONCERN. LES /MELON/ ET /PASTEQUE/;LA CULTURE DU MELON ET DE LA PASTEQUE;http://www.onagri.tn/uploads/docagri/162.PDF
1975;KHALFALLAH, S. (DRES)LASRAM, M. (INRAT);164;(FR);DIV. SOLS;TUNIS;DE L'INFLUENCE DE LA NATURE DU SOL ET DE LA SALURE DE L'EAU D'IRRIGATION SUR LA QUALITE DES ORANGES MALTAISES DEMI-SANGUINE DE TUNISIE;;RECHERCHE SUR L'INFLUENCE DU /TYPE DE SOL/ ET DE L /IRRIGATION A L'EAU SALEE/ SUR LA /QUALITE/ DES /ORANGE/S MALTAISES DEMI-SANGUINE DE TUNISIE - ETUDE ENTREPRISE EN 1972 DANS LE CADRE DU /SCHEMA DIRECTEUR/ DES EAUX DU NORD VISANT A LA SAUVEGARDE DES /AGRUMES/ DU /CAP BON/;DE L'INFLUENCE DE LA NATURE DU SOL ET DE LA SALURE DE L'EAU D'IRRIGATION SUR LA QUALITE DES ORANGES MALTAISES DEMI-SANGUINE DE TUNISIE;http://www.onagri.tn/uploads/docagri/164.PDF
1975;FLORET, C. (CNRS)PONTANIER, R.BOURGES, J. (ORSTOM);168;(FR);DIV. SOLSORSTOM (FR);TUNIS;ETUDE D'UNE TOPOSEQUENCE TYPE DU SUD TUNISIEN DJEBEL DISSA. LES SOLS, RUISSELLEMENT, BILAN HYDRIQUE, EROSION, VEGETATION (RESULTATS DE LA SAISON 1973-1974);;RESULTATS DE MESURE DANS UNE TOPOSEQUENCE TYPE /TUNISIE DU SUD/ EFFECTUEE A LA STATION DE /DJEBEL DISSA/ EN 1973-1974 SUR LA /METEOROLOGIE/ LE /BILAN HYDROLOGIQUE/ L /EROSION FLUVIATILE/ ET LA /DEGRADATION DU SOL/ ET SUR LA /COUVERTURE VEGETALE/;ETUDE D'UNE TOPOSEQUENCE TYPE DU SUD TUNISIEN DJEBEL DISSA. LES SOLS, RUISSELLEMENT, BILAN HYDRIQUE, EROSION, VEGETATION (RESULTATS DE LA SAISON 1973-1974);http://www.onagri.tn/uploads/docagri/168.PDF
1975;ZANTE, P. (ORSTOM)BESBES, M. (DRES);169;(FR);DIV. SOLS;TUNIS;PROJET D'AMENAGEMENT PASTORAL D'OGLAT MERTEBA CREATION DE PERIMETRES IRRIGUES A RESERVES FOURRAGERES. ETUDE PEDOLOGIQUE;;ETUDE DE /PEDOLOGIE/ DES /PERIMETRE D'IRRIGATION/ DE /OUED MELAB/ ET /BENI AISSA/ DANS LE CADRE DE L /AMELIORATION DES PARCOURS/ , D /OGLAT MERTEBA/ POUR LA LUTTE CONTRE LA /DESERTISATION/ .;PROJET D'AMENAGEMENT PASTORAL D'OGLAT MERTEBA CREATION DE PERIMETRES IRRIGUES A RESERVES FOURRAGERES. ETUDE PEDOLOGIQUE;http://www.onagri.tn/uploads/docagri/169.PDF
1975;DREFC;171;(FR);DREFC;TUNIS;AGRUMES;;/MONOGRAPHIE/ SUR LA /PRODUCTION/ DES /AGRUMES/ OU CITRUS ET EN PARTIC. SUR LES /TECHNIQUE CULTURALE/S ET LE /CALENDRIER DE CULTURE/ - TABLEAU DES ESPECES ET /VARIETE/S CULTIVEES EN TUNISIE. /TECHNIQUE DE PLANIFICATION/ D'UN /VERGER/ ET D /ENTRETIEN DES PLANTATIONS/ . DONNEES NUMERIQUES SUR LA PRODUCTION MONDIALE DANS LES /PAYS MEDITERRANEENS/;AGRUMES;http://www.onagri.tn/uploads/docagri/171.PDF
1976;BEN SALAH, D.;201;(FR);DRES;TUNIS;3. CONGRES INTERNATIONAL SUR LES EAUX SOUTERRAINES. 2. CONFERENCE INTERNATIONALE SUR LA PLANIFICATION DES EAUX.PALERME, 1-5NOV 1975;;/RAPPORT DE REUNION/ A PALERME /ITALIE/ CONCERN. LES /EAU SOUTERRAINE/S ET LA /GESTION/ DES EAUX;3. CONGRES INTERNATIONAL SUR LES EAUX SOUTERRAINES. 2. CONFERENCE INTERNATIONALE SUR LA PLANIFICATION DES EAUX.PALERME, 1-5NOV 1975;http://www.onagri.tn/uploads/docagri/201.PDF
1975;BEN SALAH, D.;203;(FR);DRES;TUNIS;TRANSFERT DES RESULTATS D'ENQUETES CONCERNANT PUITS ET SOURCES SUR SUPPORT MECANOGRAPHIQUE. REMPLISSAGE DES BORDEREAUX DE TRANSFERT;;NOTE CONCERN. LA METHODE DE TRAITEMENT DES INFORMATIONS TIREES DE L /INVENTAIRE/ SUR LES /SOURCE/S ET /PUITS/ POUR L'ETABLISSEMENT D'UNE /BANQUE DE DONNEES/ EN /HYDROGEOLOGIE/;TRANSFERT DES RESULTATS D'ENQUETES CONCERNANT PUITS ET SOURCES SUR SUPPORT MECANOGRAPHIQUE. REMPLISSAGE DES BORDEREAUX DE TRANSFERT;http://www.onagri.tn/uploads/docagri/203.PDF
1975;SAIDANE, E.;253;(FR);DPAEEP;TUNIS;ETUDE COMPARATIVE DE L'ENQUETE AGRICOLE DE BASE 1975 REALISEE PAR LA DIVISION DES STATISTIQUES DE LA DIRECTION DU PLAN ET DU RECENCEMENT AGRICOLE REALISE PAR LE CABINET DU MINISTERE DE L'AGRICULTURE;;COMPARAISON ENTRE LES /ENQUETE AGRICOLE/ EFFECTUEES PAR LE /DPAEEP/ ET LE /MIN. AGR./ SUR LA /PRODUCTION AGRICOLE/ DANS LA /TUNISIE DU NORD/ - DEMONSTRATION DE LA SUPERIORITE DE L /ENQUETE PAR SONDAGE/ CONCERN. NOTAMMENT LES /GRANDES CULTURES/, LES CULTURES DE /PLANTE MARAICHERE/S ET D /ARBRE FRUITIER/, LE /CHEPTEL/ ET LE /MATERIEL AGRICOLE/;ETUDE COMPARATIVE DE L'ENQUETE AGRICOLE DE BASE 1975 REALISEE PAR LA DIVISION DES STATISTIQUES DE LA DIRECTION DU PLAN ET DU RECENCEMENT AGRICOLE REALISE PAR LE CABINET DU MINISTERE DE L'AGRICULTURE;http://www.onagri.tn/uploads/docagri/253.PDF
1975;MIN. AGR.;284;(FR);MIN. AGR.;TUNIS;STATISTIQUES AGRICOLES. CAMPAGNE 1974-1975 ENQUETE CRDA;;/STATISTIQUES AGRICOLES/ 1974-1975 PAR /GOUVERNORAT/ POUR LA /TUNISIE DU NORD/ - CONCERN. L /ARBORICULTURE/,LES /GRANDES CULTURES/, LES /PLANTE MARAICHERE/S, L /ELEVAGE/ ET LE /MATERIEL AGRICOLE/;STATISTIQUES AGRICOLES. CAMPAGNE 1974-1975 ENQUETE CRDA;http://www.onagri.tn/uploads/docagri/284.PDF
1976;MIN. AGR.;408;(FR);MIN. AGR.;TUNIS;PLAN QUINQUENNAL 1976-1981 LA CEREALICULTURE;;/DOCUMENT TECHNIQUE/ POUR LE /PLAN 1977-1981/ SUR LES OBJECTIFS DE /PRODUCTION AGRICOLE/ EN /CEREALES/ - /PREVISION ECONOMIQUE/ POUR LE /SECTEUR PRIVE/ ET LE /SECTEUR PUBLIC/. /CONSOMMATION/, /BUDGET ECONOMIQUE/ /SUPERFICIES CULTIVEES/ /RENDEMENT AGRICOLE/ ET PRODUCTION PREVUE PAR TYPE D/EXPLOITATION AGRICOLE/ POUR LES /BLE DUR/, /BLE TENDRE/ ET /ORGE/. OBJECTIFS EN MATIERE DE /RECHERCHE AGRONOMIQUE/ /SEMENCE/ SELECTIONNEE, /ENGRAIS/ /DESHERBAGE/, /MECANISATION DE L'AGRICULTURE/, /VULGARISATION AGRICOLE/ /CREDIT AGRICOLE/ ET /COMMERCIALISATION/. VOLUME DES /INVESTISSEMENT/S. INVENTAIRE DES /PROGRAMME DE DEVELOPPEMENT/ PREVUS AVEC /PRIX/ /BESOIN EN MAIN D'OEUVRE/ ORGANISME PROMOTEURS;PLAN QUINQUENNAL 1976-1981 LA CEREALICULTURE;http://www.onagri.tn/uploads/docagri/408.PDF
1976;MIN. AGR.;410;(FR);MIN. AGR.;TUNIS;PLAN QUINQUENNAL 1977-1981. LES CULTURES INDUSTRIELLES;;/DOCUMENT TECHNIQUE/ CONCERN. LES PREVISIONS DE PRODUCTION DES /PLANTE INDUSTRIELLE/S POUR LE /PLAN 1977-1981/ - /PREVISION ECONOMIQUE/ POUR LA /BETTERAVE SUCRIERE/ LE /TOURNESOL/ LE /TABAC/ LE /LIN/ LE /SOJA/ ET LE /COTON/. /INVESTISSEMENT/S ET /PROGRAMME DE DEVELOPPEMENT/ POUR CES CULTURES AVEC /SUPERFICIES CULTIVEES/, /SUPERFICIES IRRIGUEES/, /MATERIEL AGRICOLE/, /ENGRAIS/ ET /SEMENCE/S. /COUT DE PRODUCTION/ ET /FINANCEMENT DES INVESTISSEMENTS/, /BESOIN EN CADRES/ ET /EMPLOI/ EXPRIME EN JOURS DE TRAVAIL. /STATISTIQUES AGRICOLES/.;PLAN QUINQUENNAL 1977-1981. LES CULTURES INDUSTRIELLES;http://www.onagri.tn/uploads/docagri/410.PDF
