olives,conduite_culturale,supeficie_cultivee_hectares,production_tonnes
زيتون زيت,en sec,1568,2188
زيتون مائدة,en sec,110,112
زيتون زيت,en irrigué,84,278
زيتون مائدة,en irrigué,10,56
