societe,nature_du_produit,quantite_kilos
البحر الأبيض المتوسط,أسماك مثلجة,"1606,5"
بن حميدة,رخويات مثلجة,138
بن حميدة,أسماك مثلجة,"534,6"
أزابسكا,قشريات مجمدة,55718
أزابسكا,رخويات مجمدة,882
ماديترنيان باسكا, نصف مصبرات سمك أزرق,18644
فيشر,قشريات مجمدة,"1291,6"
فيشر,أسماك مثلجة,13117
ديدون ماري,رخويات مجمدة,160
ديدون ماري,أسماك مثلجة,"846,5"
ديدون ماري,حبر الصوبيا,"1949,25"
موليس دوس,رخويات حية ذات الصدفتين,"8969,75"
