Gouvernorats,Annee,superficie_emblavees_1000_ha
"Kairouan,2013 ,""47,22 """
"Kasserine,2013 ,""36,61 """
"Sidi Bouzid,2013 ,""3,39 """
"Gafsa,2013 ,""2,34 """
Gabès,2013 ,
Medenine,2013 ,
Tozeur,2013 ,
Kébili,2013 ,
Tataouine,2013 ,
"Tunis,2014 ,""0,68 """
"Ariana,2014 ,""3,9 """
"Manouba,2014 ,""19,2 """
"Ben Arous,2014 ,""5,8 """
"Nabeul,2014 ,""19,29 """
"Bizerte,2014 ,""71,97 """
"Béja,2014 ,""90,73 """
"Jendouba,2014 ,""61,36 """
"Kef,2014 ,""84,44 """
"Siliana,2014 ,""82,5 """
"Zaghouan,2014 ,""20,41 """
"Sousse,2014 ,""21,15 """
"Monastir,2014 ,""1,1 """
Mahdia,2014 ,14 
"Sfax,2014 ,""2,23 """
"Kairouan,2014 ,""53,27 """
"Kasserine,2014 ,""30,73 """
"Sidi Bouzid,2014 ,""10,23 """
"Gafsa,2014 ,""1,7 """
"Gabès,2014 ,""1,25 """
Medenine,2014 ,
Tozeur,2014 ,
Kébili,2014 ,
"Tataouine,2014 ,""0,17 """
"Tunis,2015 ,""0,69 """
"Ariana,2015 ,""3,51 """
Manouba,2015 ,19 
"Ben Arous,2015 ,""4,48 """
"Nabeul,2015 ,""18,86 """
"Bizerte,2015 ,""66,32 """
"Béja,2015 ,""98,14 """
"Jendouba,2015 ,""62,51 """
"Kef,2015 ,""54,46 """
"Siliana,2015 ,""78,6 """
"Zaghouan,2015 ,""20,59 """
"Sousse,2015 ,""8,36 """
"Monastir,2015 ,""0,96 """
"Mahdia,2015 ,""5,7 """
"Sfax,2015 ,""0,1 """
"Kairouan,2015 ,""44,6 """
"Kasserine,2015 ,""36,82 """
"Sidi Bouzid,2015 ,""9,1 """
"Gafsa,2015 ,""5,6 """
"Gabès,2015 ,""0,05 """
"Medenine,2015 ,""1,07 """
Tozeur,2015 ,
Kébili,2015 ,
"Tataouine,2015 ,""0,52 """
"Tunis,2016 ,""0,52 """
"Ariana,2016 ,""4,32 """
"Manouba,2016 ,""18,5 """
"Ben Arous,2016 ,""4,395 """
"Nabeul,2016 ,""20,08 """
"Bizerte,2016 ,""73,09 """
"Béja,2016 ,""94,11 """
"Jendouba,2016 ,""63,57 """
"Kef,2016 ,""51,8 """
"Siliana,2016 ,""77,9 """
"Zaghouan,2016 ,""20,59 """
"Sousse,2016 ,""4,77 """
"Monastir,2016 ,""0,69 """
"Mahdia,2016 ,""0,2 """
Sfax,2016 ,
"Kairouan,2016 ,""38,31 """
"Kasserine,2016 ,""36,66 """
"Sidi Bouzid,2016 ,""3,58 """
"Gafsa,2016 ,""0,6 """
"Gabès,2016 ,""0,62 """
"Medenine,2016 ,""1,1 """
Tozeur,2016 ,
Kébili,2016 ,
Tataouine,2016 ,
"Tunis,2017 ,""0,591 """
"Ariana,2017 ,""4,29 """
"Manouba,2017 ,""16,5 """
"Ben Arous,2017 ,""3,26 """
"Nabeul,2017 ,""20,66 """
"Bizerte,2017 ,""65,225 """
"Béja,2017 ,""96,63 """
"Jendouba,2017 ,""65,24 """
"Kef,2017 ,""50,635 """
"Siliana,2017 ,""76,86 """
"Zaghouan,2017 ,""18,895 """
"Sousse,2017 ,""19,35 """
"Monastir,2017 ,""1,25 """
"Mahdia,2017 ,""10,484 """
"Sfax,2017 ,""1,315 """
"Kairouan,2017 ,""45,01 """
"Kasserine,2017 ,""40,75"""
"Sidi Bouzid,2017 ,""15,47 """
"Gafsa,2017 ,""20,5 """
"Gabès,2017 ,""4,7 """
"Medenine,2017 ,""0,6 """
Tozeur,2017 ,
"Kébili,2017 ,""1,5 """
"Tataouine,2017 ,""0,116 """
"Tunis,2018 ,""0,55 """
"Ariana,2018 ,""4,5 """
"Manouba,2018 ,""16,3 """
"Ben Arous,2018 ,""3,3 """
"Nabeul,2018 ,""21,22 """
"Bizerte,2018 ,""72,703 """
"Béja,2018 ,""100,87 """
"Jendouba,2018 ,""66,598 """
"Kef,2018 ,""50,54 """
"Siliana,2018 ,""76,28 """
"Zaghouan,2018 ,""19,93 """
"Sousse,2018 ,""10,936 """
Monastir,2018 ,
"Mahdia,2018 ,""1,2 """
"Sfax,2018 ,""0,07 """
"Kairouan,2018 ,""34,06 """
"Kasserine,2018 ,""31,56"""
"Sidi Bouzid,2018 ,""3,92 """
"Gafsa,2018 ,""5,5 """
"Gabès,2018 ,""6,0 """
"Medenine,2018 ,""6,02 """
Tozeur,2018 ,
"Kébili,2018 ,""1,5 """
"Tataouine,2018 ,""0,7 """
