date,type,qte,pgmin,pgmax,pdmin,pdmax
2022-09-21,poulet (pac),,,,8195,8195
2022-09-21,bœuf avec os,,,,18000,20000
2022-09-21,bœuf sans os,,,,27000,30000
2022-09-21,ovin reforme,,,,18000,20000
2022-09-20,agneau,,,,28000,33000
2022-09-20,escaloppe,,,,17195,19900
2022-09-20,poulet (pac),,,,8195,8195
2022-09-20,bœuf avec os,,,,18000,20000
2022-09-20,bœuf sans os,,,,27000,30000
2022-09-20,ovin reforme,,,,18000,20000
2022-09-19,agneau,,,,29000,33000
2022-09-19,escaloppe,,,,17195,19900
2022-09-19,poulet (pac),,,,8195,8195
2022-09-19,bœuf avec os,,,,18000,20000
2022-09-19,bœuf sans os,,,,27000,30000
2022-09-19,ovin reforme,,,,18000,20000
2022-09-16,agneau,,,,29000,33000
2022-09-16,escaloppe,,,,17195,19900
2022-09-16,poulet (pac),,,,8195,8195
2022-09-16,bœuf avec os,,,,18000,20000
2022-09-16,bœuf sans os,,,,27000,30000
2022-09-16,ovin reforme,,,,18000,20000
2022-09-15,agneau,,,,29000,33000
2022-09-15,escaloppe,,,,17195,19900
2022-09-15,poulet (pac),,,,8195,8195
2022-09-15,bœuf avec os,,,,18000,20000
2022-09-15,bœuf sans os,,,,27000,30000
2022-09-15,ovin reforme,,,,18000,20000
2022-09-13,agneau,,,,29000,30000
2022-09-13,escaloppe,,,,17195,19900
2022-09-13,poulet (pac),,,,8195,8195
2022-09-13,bœuf avec os,,,,18000,20000
2022-09-13,bœuf sans os,,,,27000,29000
2022-09-13,ovin reforme,,,,18000,20000
2022-09-12,agneau,,,,29000,30000
2022-09-12,escaloppe,,,,17130,19900
2022-09-12,poulet (pac),,,,8195,9195
2022-09-12,bœuf avec os,,,,18000,20000
2022-09-12,bœuf sans os,,,,27000,29000
2022-09-12,ovin reforme,,,,18000,20000
2022-09-09,agneau,,,,29000,30000
2022-09-09,escaloppe,,,,17130,19900
2022-09-09,poulet (pac),,,,8195,9195
2022-09-09,bœuf avec os,,,,18000,20000
2022-09-09,bœuf sans os,,,,27000,29000
2022-09-09,ovin reforme,,,,18000,20000
2022-09-08,agneau,,,,29000,30000
2022-09-08,escaloppe,,,,17130,19900
2022-09-08,poulet (pac),,,,8195,9195
2022-09-08,bœuf avec os,,,,18000,20000
2022-09-08,bœuf sans os,,,,27000,29000
2022-09-08,ovin reforme,,,,18000,20000
2022-09-07,agneau,,,,28000,30000
2022-09-07,escaloppe,,,,17130,19900
2022-09-07,poulet (pac),,,,8195,9195
2022-09-07,bœuf avec os,,,,18000,20000
2022-09-07,bœuf sans os,,,,27000,29000
2022-09-07,ovin reforme,,,,18000,20000
2022-09-06,agneau,,,,28000,30000
2022-09-06,escaloppe,,,,17130,19950
2022-09-06,poulet (pac),,,,8400,8445
2022-09-06,bœuf avec os,,,,18000,20000
2022-09-06,bœuf sans os,,,,27000,29000
2022-09-06,ovin reforme,,,,18000,20000
2022-09-05,agneau,,,,28000,30000
2022-09-05,escaloppe,,,,17130,19950
2022-09-05,poulet (pac),,,,8600,8745
2022-09-05,bœuf avec os,,,,18000,20000
2022-09-05,bœuf sans os,,,,27000,29000
2022-09-05,ovin reforme,,,,18000,20000
2022-08-12,agneau,,,,29000,29000
2022-08-12,escaloppe,,,,13480,20280
2022-08-12,poulet (pac),,,,8290,8620
2022-08-12,bœuf avec os,,,,17000,20000
2022-08-12,bœuf sans os,,,,27000,29000
2022-08-12,ovin reforme,,,,18000,20000
2022-08-11,agneau,,,,29000,29000
2022-08-11,escaloppe,,,,13480,20280
2022-08-11,poulet (pac),,,,8290,8620
2022-08-11,bœuf avec os,,,,17000,20000
2022-08-11,bœuf sans os,,,,27000,29000
2022-08-11,ovin reforme,,,,18000,20000
2022-08-10,agneau,,,,29000,29000
2022-08-10,escaloppe,,,,13480,20280
2022-08-10,poulet (pac),,,,8290,8620
2022-08-10,bœuf avec os,,,,17000,20000
2022-08-10,bœuf sans os,,,,27000,29000
2022-08-10,ovin reforme,,,,18000,20000
2022-08-09,agneau,,,,29000,29000
2022-08-09,escaloppe,,,,13480,20280
2022-08-09,poulet (pac),,,,8290,8620
2022-08-09,bœuf avec os,,,,17000,20000
2022-08-09,bœuf sans os,,,,27000,29000
2022-08-09,ovin reforme,,,,18000,19000
2022-08-08,agneau,,,,29000,29000
2022-08-08,escaloppe,,,,13480,20280
2022-08-08,poulet (pac),,,,8290,8620
2022-08-08,bœuf avec os,,,,17000,20000
2022-08-08,bœuf sans os,,,,27500,29000
2022-08-08,ovin reforme,,,,18000,19000
2022-08-05,agneau,,,,27000,28000
2022-08-05,escaloppe,,,,10450,20280
2022-08-05,poulet (pac),,,,8450,8620
2022-08-05,bœuf avec os,,,,17000,20000
2022-08-05,bœuf sans os,,,,28000,29000
2022-08-05,ovin reforme,,,,18000,19000
2022-08-04,agneau,,,,27000,28000
2022-08-04,escaloppe,,,,10450,20280
2022-08-04,poulet (pac),,,,8450,8620
2022-08-04,bœuf avec os,,,,17000,20000
2022-08-04,bœuf sans os,,,,27000,29000
2022-08-04,ovin reforme,,,,18000,20000
2022-08-03,agneau,,,,27000,28000
2022-08-03,escaloppe,,,,10450,20280
2022-08-03,poulet (pac),,,,8450,8620
2022-08-03,bœuf avec os,,,,17000,20000
2022-08-03,bœuf sans os,,,,27000,29000
2022-08-03,ovin reforme,,,,18000,20000
2022-08-02,agneau,,,,27000,28000
2022-08-02,escaloppe,,,,12500,15990
2022-08-02,poulet (pac),,,,7800,8280
2022-08-02,bœuf avec os,,,,17000,20000
2022-08-02,bœuf sans os,,,,27000,29000
2022-08-02,ovin reforme,,,,18000,20000
2022-08-01,agneau,,,,27000,28000
2022-08-01,escaloppe,,,,12500,15990
2022-08-01,poulet (pac),,,,7800,8280
2022-08-01,bœuf avec os,,,,17000,22000
2022-08-01,bœuf sans os,,,,27000,29000
2022-08-01,ovin reforme,,,,18000,20000
2022-07-29,bœuf sans os,,,,27000,28000
2022-07-29,bœuf avec os,,,,17000,22000
2022-07-29,poulet (pac),,,,7800,8280
2022-07-29,escaloppe,,,,13280,15990
2022-07-29,agneau,,,,28000,30000
2022-07-29,ovin reforme,,,,18000,20000
2022-07-28,bœuf sans os,,,,27000,28000
2022-07-28,bœuf avec os,,,,17000,22000
2022-07-28,poulet (pac),,,,7800,8280
2022-07-28,escaloppe,,,,13280,15990
2022-07-28,agneau,,,,28000,30000
2022-07-28,ovin reforme,,,,20000,20000
2022-07-27,bœuf sans os,,,,27000,28000
2022-07-27,bœuf avec os,,,,17000,22000
2022-07-27,poulet (pac),,,,7200,7800
2022-07-27,escaloppe,,,,15525,15990
2022-07-27,agneau,,,,28000,30000
2022-07-27,ovin reforme,,,,18000,20000
2022-07-26,bœuf sans os,,,,27000,28000
2022-07-26,bœuf avec os,,,,17000,22000
2022-07-26,poulet (pac),,,,7200,7800
2022-07-26,escaloppe,,,,15525,15990
2022-07-26,agneau,,,,28000,30000
2022-07-26,ovin reforme,,,,18000,20000
2022-07-22,bœuf sans os,,,,27000,28000
2022-07-22,bœuf avec os,,,,17000,22000
2022-07-22,poulet (pac),,,,7200,7800
2022-07-22,escaloppe,,,,15525,15990
2022-07-22,agneau,,,,28000,30000
2022-07-22,ovin reforme,,,,18000,20000
2022-07-20,bœuf sans os,,,,26000,28000
2022-07-20,bœuf avec os,,,,17000,20000
2022-07-20,poulet (pac),,,,7200,7800
2022-07-20,escaloppe,,,,15525,15990
2022-07-20,agneau,,,,28000,30000
2022-07-20,ovin reforme,,,,18000,20000
2022-07-19,bœuf sans os,,,,26000,28000
2022-07-19,bœuf avec os,,,,17000,20000
2022-07-19,poulet (pac),,,,7200,7200
2022-07-19,escaloppe,,,,15525,15525
2022-07-19,agneau,,,,28000,30000
2022-07-19,ovin reforme,,,,18000,20000
2022-07-08,bœuf sans os,,,,27500,29000
2022-07-08,bœuf avec os,,,,17000,22000
2022-07-08,poulet (pac),,,,7130,7130
