Anne-programme;Nom-fr;Nom-ar;Delegation;Secteur;Cap-init_m3;Cap-Sed_M3 ;Sup-BV_ha;Cout_paye_milleDT;Equip;Objectif;Financement;Latitude-UTM_m;Longitude-UTM_m;Latitude_DD;Longitude_DD
1999;Ain El Ayoun;عين العيون;MEDJEZ EL BAB;Toukaber;200000;100000;260;251000,000;non;Exploitation;PN;547930;4065048;36.729084833;9.536517384
2000;Ain El Ghrab; عين الغراب;BEJA NORD;Ksar Mesouar;90000;30000;91;197300,000;Non;Exploitation;PN;527842;4076538;36.833187006;9.311428271
2000;Cherif;وادي الشريف;TESTOUR;Ain younes;90000;72000;300;184200,000;Non;Exploitation;PN;535343;4034439;36.685491888;9.451091708
2001;Ain Chalou;عين شالو;BEJA NORD;Munchar;200000;200000;200;281700,000;Non;Exploitation;PN;526560;4069211;36.767411741;9.298791785
2001;Zarzoura;وادي زرزورة;BEJA SUD;Zouagha;400000;240000;440;446900,000;Oui;Exploitation;PN;507073;4062436;36.709568352;9.314399604
2002;S. Abdelaziz;سيدي عبد العزيز;TESTOUR;Sidi Abdelaziz;350000;263;710;328300,000;Non;Exploitation;PN;545829;4052649;36.616044411;9.512629175
2002;Kebir;وادي الكبير;TESTOUR;Ain younes;130000;117000;400;181700,000;Non;Exploitation;PN;533343;4033678;36.44663252;9.371538801
2002;O. Zitoun;وادي زيتون;TESTOUR;Oued Zarga;100000;85000;345;225300,000;Oui;Exploitation;PN;539812;4064680;36.725506669;9.444471961
2003;Bou Hammara;بوحمارة;MEDJEZ EL BAB;Ksa Echikh;450000;193000;560;279500,000;Non;Exploitation;PN;549871;4070940;36.781873285;9.558469754
2003;Tadharra;تذرة;MEDJEZ EL BAB;Ksa Echikh;450000;260000;660;287100,000;Non;Exploitation;PN;550961;4071299;36.785700176;9.570780963
2004;Fidh El Hajri;فيض الحجري;TESTOUR;Ain Younes;150000;107000;230;210000,000;Non;Exploitation;PN;533892;4036063;36.468175388;9.378416744
2004;O. Bou Neb;وادي بوناب;TESTOUR;Testour;160000;75000;200;216000,000;Non;Exploitation;PN;542538;4045905;36.556657912;9.474556588
2004;El Yousr;اليسر;BEJA NORD;M'khachbia;160000;150000;180;187000,000;Non;Exploitation;PN;526339;4061194;36.694819202;9.293517918
2006;Sfaya;الصفاية;GOUBELLAT;Bir El Ich;210000;189000;848;207950,000;Non;Exploitation;PN;554542;4035187;36.459595204;9.608893819
2007;El Guettar;القطار;GOUBELLAT;Bir El Ich;160000;144000;492;226950,000;Non;Exploitation;PN;553558;4035454;36.461516007;9.598083006
2007;O. El Hamri2;وادي الحمري-2;BEJA SUD;Mastouta;190000;181000;405;283000,000;Oui;Exploitation;PN;516245;4051432;36.606262884;9.181533492
2007;Knana;كنانة;TESTOUR;Ain younes;90000;89000;375;236350,000;Non;Exploitation;PN;537293;4034288;36.451912058;9.416279614
2008;Bortila;بورطيلة;TESTOUR;Ain younes;214000;214000;603;270800,000;Non;Exploitation;PN;531019;4041622;36.518326853;9.345768336
2009;O. Loubine;وادي لوبين;BEJA SUD;Sidi Smail;50000;209000;315;293000,000;Oui;Exploitation;PN;516715;4049117;36.586414022;9.1858579
2010;O. Bidziriyya;وادي بدزرية;BEJA SUD;Hammen sayyala;200000;200000;115;311530,000;Non;Exploitation;PN;518005;4057010;36.665580981;9.126314708
2011;O. El Malah;وادي المالح;MEDJEZ EL BAB;Sidi Errayes;149000;149000;294;321370,000;Non;Exploitation;FCGBV;554714;4049855;36.60248572;9.59600528
