societe,nature_du_produit,quantite_kilos
البحر الأبيض المتوسط,رخويات مثلجة,220
البحر الأبيض المتوسط,رخويات مجمدة,"1327,84"
البحر الأبيض المتوسط,أسماك مثلجة,"1005,8"
البحر الأبيض المتوسط,أسماك مجمدة,"795,8"
سليماكس,أسماك مثلجة,"4018,2"
كامكسبور,أسماك مثلجة,1000
أزابسكا,قشريات مجمدة,22464
ماديترنيان باسكا, نصف مصبرات سمك أزرق,9808
فيشر,رخويات مثلجة,22
فيشر,أسماك مثلجة,7496
ديدون ماري,رخويات مجمدة,"14069,1"
ديدون ماري,أسماك مثلجة,"2262,4"
موليس دوس,رخويات حية ذات الصدفتين,1367
