Date,Gouvernorat,Production;
1991,Ariana,762.0;
1991,Sidi Bouzid,765.0;
1991,Kasserine,960.0;
1991,Bizerte,1132.0;
1991,Kairouan,1239.0;
1991,Kef,1487.0;
1991,Jendouba,1536.0;
1991,Siliana,1912.0;
1991,Béja,2029.0;
1992,Tatouine,0.0;
1992,Medenine,1.0;
1992,Gabès,2.0;
1992,Tozeur,2.0;
1992,Tunis,18.0;
1992,Monastir,23.0;
1992,Sfax,32.0;
1992,Gafsa,65.0;
1992,Mahdia,109.0;
1992,Ben Arous,220.0;
1992,Sousse,275.0;
1992,Sidi Bouzid,330.0;
1992,Nabeul,395.0;
1992,Kasserine,710.0;
1992,Ariana,738.0;
1992,Zaghouan,760.0;
1992,Kairouan,1100.0;
1992,Kef,1458.0;
1992,Jendouba,1500.0;
1992,Bizerte,1550.0;
1992,Siliana,1676.0;
1992,Béja,2267.0;
1993,Medenine,5.0;
1993,Tunis,13.0;
1993,Monastir,29.0;
1993,Sfax,50.0;
1993,Gabès,55.0;
1993,Gafsa,100.0;
1993,Ben Arous,107.0;
1993,Mahdia,171.0;
1993,Sousse,196.0;
1993,Nabeul,340.0;
1993,Sidi Bouzid,425.0;
1993,Kasserine,495.0;
1993,Zaghouan,519.0;
1993,Ariana,550.0;
1993,Kairouan,635.0;
1993,Kef,1271.0;
1993,Jendouba,1290.0;
1993,Bizerte,1335.0;
1993,Siliana,1550.0;
1993,Béja,2200.0;
1994,Gafsa,0.0;
1994,Tunis,4.0;
1994,Monastir,6.0;
1994,Tatouine,8.0;
1994,Gabès,9.0;
1994,Medenine,18.0;
1994,Sfax,24.0;
1994,Kasserine,25.0;
1994,Sousse,38.0;
1994,Zaghouan,41.0;
1994,Ben Arous,46.0;
1994,Sidi Bouzid,79.0;
1994,Mahdia,114.0;
1994,Ariana,134.0;
1994,Kairouan,142.0;
1994,Nabeul,197.0;
1994,Siliana,361.0;
1994,Kef,438.0;
1994,Bizerte,642.0;
1994,Jendouba,844.0;
1994,Béja,1192.0;
1995,Tunis,0.0;
1995,Sousse,0.3;
1995,Monastir,1.3;
1995,Tatouine,1.3;
1995,Gafsa,1.6;
1995,Sfax,1.8;
1995,Kébili,2.0;
1995,Mahdia,2.8;
1995,Kasserine,7.7;
1995,Medenine,8.0;
1995,Gabès,20.0;
1995,Ben Arous,23.3;
1995,Zaghouan,87.6;
1995,Sidi Bouzid,112.0;
1995,Nabeul,175.1;
1995,Siliana,192.0;
1995,Kairouan,237.2;
1995,Ariana,279.3;
1995,Kef,327.4;
1995,Jendouba,749.1;
1995,Bizerte,1182.0;
1995,Béja,1311.3;
1996,Tozeur,16.6;
1996,Tunis,32.2;
1996,Monastir,32.5;
1996,Kébili,32.5;
1996,Tatouine,38.7;
1996,Medenine,62.1;
1996,Mahdia,136.5;
1996,Ben Arous,148.8;
1996,Gabès,182.2;
1996,Sfax,214.3;
1996,Nabeul,322.4;
1996,Sousse,411.9;
1996,Gafsa,548.9;
1996,Ariana,840.1;
1996,Zaghouan,999.3;
1996,Kasserine,1091.2;
1996,Jendouba,1392.3;
1996,Kairouan,1400.2;
1996,Bizerte,1449.1;
1996,Sidi Bouzid,1508.4;
1996,Siliana,1989.6;
1996,Kef,2089.6;
1996,Béja,2116.9;
1997,Monastir,0.0;
1997,Sfax,0.0;
1997,Gabès,0.0;
1997,Medenine,0.15;
1997,Gafsa,4.4;
1997,Sousse,6.93;
1997,Mahdia,9.05;
1997,Tunis,13.5;
1997,Kasserine,36.62;
1997,Ben Arous,74.38;
1997,Sidi Bouzid,160.44;
1997,Zaghouan,233.58;
1997,Nabeul,284.65;
1997,Kairouan,321.51;
1997,Ariana,483.4;
1997,Kef,746.2;
1997,Siliana,830.84;
1997,Jendouba,1034.98;
1997,Bizerte,1231.09;
1997,Béja,1760.45;
1998,Gabès,0.16;
1998,Sfax,1.32;
1998,Medenine,2.84;
1998,Monastir,3.53;
1998,Gafsa,6.53;
1998,Tunis,22.43;
1998,Sousse,40.19;
1998,Mahdia,75.7;
1998,Ben Arous,120.0;
1998,Kasserine,167.63;
1998,Sidi Bouzid,167.7;
1998,Nabeul,306.26;
1998,Zaghouan,328.75;
1998,Kairouan,448.36;
1998,Ariana,822.47;
1998,Bizerte,1312.2;
1998,Jendouba,1465.04;
1998,Kef,1525.54;
1998,Siliana,1719.89;
1998,Béja,2364.64;
1999,Tozeur,0.91;
1999,Tatouine,4.68;
1999,Monastir,9.71;
1999,Kébili,15.6;
1999,Medenine,18.2;
1999,Tunis,22.75;
1999,Mahdia,29.4;
1999,Sfax,31.42;
1999,Gabès,45.0;
1999,Gafsa,49.36;
1999,Sousse,90.0;
1999,Ben Arous,113.51;
1999,Sidi Bouzid,236.59;
1999,Kasserine,310.04;
1999,Nabeul,325.33;
1999,Kairouan,700.01;
1999,Ariana,755.74;
1999,Zaghouan,852.31;
1999,Jendouba,1271.62;
1999,Siliana,1284.07;
1999,Kef,1298.75;
1999,Bizerte,1778.93;
1999,Béja,2194.92;
2000,Medenine,1.25;
2000,Gabès,2.5;
2000,Tunis,4.26;
2000,Gafsa,8.38;
2000,Sfax,15.0;
2000,Monastir,17.1;
2000,Ben Arous,66.91;
2000,Sousse,98.0;
2000,Kasserine,123.46;
2000,Mahdia,156.6;
2000,Sidi Bouzid,230.53;
2000,Nabeul,315.0;
2000,Zaghouan,315.15;
2000,Ariana,434.98;
2000,Siliana,552.0;
2000,Kairouan,556.17;
2000,Jendouba,725.07;
2000,Kef,742.93;
2000,Béja,1304.85;
2000,Bizerte,1389.78;
2001,Monastir,0.0;
2001,Mahdia,0.0;
2001,Gabès,0.0;
2001,Medenine,0.0;
2001,Sfax,0.4;
2001,Sousse,0.436;
2001,Gafsa,7.606;
2001,Tunis,8.15;
2001,Kasserine,47.0;
2001,Ben Arous,67.2;
2001,Ariana,84.6;
2001,Sidi Bouzid,198.3;
2001,Kairouan,337.4;
2001,Nabeul,372.0;
2001,Zaghouan,427.9;
2001,Manouba,500.8;
2001,Kef,918.2;
2001,Siliana,960.5;
2001,Jendouba,1159.7;
2001,Bizerte,1682.4;
2001,Béja,2578.6;
2002,Gafsa,0.0;
2002,Medenine,0.0;
2002,Tunis,0.75;
2002,Sousse,1.1;
2002,Tatouine,1.2;
2002,Monastir,1.75;
2002,Sfax,2.36;
2002,Gabès,8.76;
2002,Kasserine,13.23;
2002,Ben Arous,13.83;
2002,Mahdia,19.0;
2002,Zaghouan,23.75;
2002,Ariana,49.38;
2002,Sidi Bouzid,110.4;
2002,Manouba,116.3;
2002,Kef,149.92;
2002,Nabeul,164.6;
2002,Siliana,188.12;
2002,Kairouan,315.4;
2002,Jendouba,577.55;
2002,Bizerte,803.0;
2002,Béja,1144.67;
2003,Kébili,0.5;
2003,Gabès,1.8;
2003,Tozeur,3.0;
2003,Tatouine,8.75;
2003,Medenine,9.6;
2003,Monastir,15.14;
2003,Tunis,25.45;
2003,Sfax,57.36;
2003,Mahdia,113.13;
2003,Ben Arous,125.26;
2003,Ariana,125.62;
2003,Gafsa,175.44;
2003,Sousse,202.76;
2003,Nabeul,403.35;
2003,Kasserine,751.6;
2003,Manouba,764.26;
2003,Zaghouan,832.38;
2003,Sidi Bouzid,977.8;
2003,Kairouan,1215.93;
2003,Jendouba,1223.6;
2003,Bizerte,1593.74;
2003,Siliana,2357.82;
2003,Kef,2513.03;
2003,Béja,2962.3;
2004,Tozeur,3.5;
2004,Tatouine,7.05;
2004,Medenine,9.6;
2004,Monastir,14.7;
2004,Tunis,18.96;
2004,Sfax,21.25;
2004,Gabès,40.0;
2004,Kébili,72.0;
2004,Ben Arous,99.11;
2004,Ariana,131.0;
2004,Mahdia,138.5;
2004,Gafsa,205.15;
2004,Nabeul,422.3;
2004,Sousse,465.1;
2004,Manouba,465.99;
2004,Sidi Bouzid,521.1;
2004,Zaghouan,691.98;
2004,Kasserine,870.72;
2004,Kairouan,974.0;
2004,Jendouba,1073.08;
2004,Bizerte,1480.28;
2004,Siliana,1521.43;
2004,Kef,1633.45;
2004,Béja,3080.97;
2005,Gabès,0.0;
2005,Medenine,0.0;
2005,Tozeur,0.2;
2005,Sfax,9.4;
2005,Gafsa,10.05;
2005,Monastir,15.46;
2005,Tunis,17.45;
2005,Ben Arous,90.12;
2005,Ariana,125.0;
2005,Mahdia,160.15;
2005,Sidi Bouzid,268.25;
2005,Sousse,294.55;
2005,Kasserine,369.05;
2005,Nabeul,397.1;
2005,Manouba,419.93;
2005,Zaghouan,696.9;
2005,Kairouan,768.33;
2005,Jendouba,1134.0;
2005,Siliana,1624.2;
