Delegation,Nb_oliviers_en_production,Production_finale_en_tonne,Production_pluviale_en_tonne,Production_irriguee_en_tonne,Nb_huileries_actifs,Quantites_olives_transferees_en_tonne,Production_Huile_en_tonne
جرجيس,502000,35300,35000,300,37,35300,7300
بنقر دان,5000,200,50,150,2,200,40
سيدي مخلوف,42000,1200,300,900,1,1200,245
مدنين الشمالية,25000,600,300,300,2,1200,125
مدنين الجنوبية,125000,6000,2100,3900,6,9500,1230
بني خداش,143000,5600,5510,90,9,1500,1130
أجيم,35000,240,240,0,5,240,50
حومة السوق,27000,360,320,40,7,360,70
ميدون,106000,1500,1260,240,2,1500,310
