societe,nature_du_produit,quantite_kilos
المتوسطية,رخويات مثلجة,152
المتوسطية,أسماك مثلجة,"1031,7"
أزابسكا,قشريات مجمدة,31736
أزابسكا,رخويات مجمدة,26676
فيشر,قشريات مجمدة,3558
فيشر,رخويات مجمدة,168
فيشر,أسماك مثلجة,"85,8"
ديدون ماري,قشريات مجمدة,620
ديدون ماري,رخويات مجمدة,70
ديدون ماري,رخويات حية,147
ديدون ماري,أسماك مثلجة,"75,6"
ماديترنيان باسكا, نصف مصبرات سمك أزرق,16790
لابلان,قشريات مجمدة,11526
موليس دوس,رخويات حية,"5292,83"
