date,parameter,value,unite
2025-05-16 07:00:00,Rayonnement solaire,119.0,W/m²
2025-05-16 08:00:00,Rayonnement solaire,333.0,W/m²
2025-05-16 09:00:00,Rayonnement solaire,244.0,W/m²
2025-05-16 10:00:00,Rayonnement solaire,954.0,W/m²
2025-05-16 11:00:00,Rayonnement solaire,210.0,W/m²
2025-05-16 12:00:00,Rayonnement solaire,113.0,W/m²
2025-05-16 13:00:00,Rayonnement solaire,292.0,W/m²
2025-05-16 14:00:00,Rayonnement solaire,489.0,W/m²
2025-05-16 15:00:00,Rayonnement solaire,176.0,W/m²
2025-05-16 16:00:00,Rayonnement solaire,131.0,W/m²
2025-05-16 17:00:00,Rayonnement solaire,203.0,W/m²
2025-05-16 18:00:00,Rayonnement solaire,83.0,W/m²
2025-05-16 19:00:00,Rayonnement solaire,21.0,W/m²
2025-05-16 20:00:00,Rayonnement solaire,0.0,W/m²
2025-05-16 21:00:00,Rayonnement solaire,0.0,W/m²
2025-05-16 22:00:00,Rayonnement solaire,0.0,W/m²
2025-05-16 23:00:00,Rayonnement solaire,0.0,W/m²
2025-05-17 00:00:00,Rayonnement solaire,0.0,W/m²
2025-05-17 01:00:00,Rayonnement solaire,0.0,W/m²
2025-05-17 02:00:00,Rayonnement solaire,0.0,W/m²
2025-05-17 03:00:00,Rayonnement solaire,0.0,W/m²
2025-05-17 04:00:00,Rayonnement solaire,0.0,W/m²
2025-05-17 05:00:00,Rayonnement solaire,0.0,W/m²
2025-05-17 06:00:00,Rayonnement solaire,42.0,W/m²
2025-05-17 07:00:00,Rayonnement solaire,199.0,W/m²
2025-05-17 08:00:00,Rayonnement solaire,409.0,W/m²
2025-05-17 09:00:00,Rayonnement solaire,618.0,W/m²
2025-05-17 10:00:00,Rayonnement solaire,790.0,W/m²
2025-05-17 11:00:00,Rayonnement solaire,931.0,W/m²
2025-05-17 12:00:00,Rayonnement solaire,1013.0,W/m²
2025-05-17 13:00:00,Rayonnement solaire,1028.0,W/m²
2025-05-17 14:00:00,Rayonnement solaire,1000.0,W/m²
2025-05-17 15:00:00,Rayonnement solaire,915.0,W/m²
2025-05-16 01:00:00,Vitesse du vent,4.08,m/s
2025-05-16 02:00:00,Vitesse du vent,2.69,m/s
2025-05-16 03:00:00,Vitesse du vent,2.82,m/s
2025-05-16 04:00:00,Vitesse du vent,1.96,m/s
2025-05-16 05:00:00,Vitesse du vent,3.65,m/s
2025-05-16 06:00:00,Vitesse du vent,2.8,m/s
2025-05-16 07:00:00,Vitesse du vent,3.15,m/s
2025-05-16 08:00:00,Vitesse du vent,5.59,m/s
2025-05-16 09:00:00,Vitesse du vent,3.75,m/s
2025-05-16 10:00:00,Vitesse du vent,5.54,m/s
2025-05-16 11:00:00,Vitesse du vent,5.06,m/s
2025-05-16 12:00:00,Vitesse du vent,3.92,m/s
2025-05-16 13:00:00,Vitesse du vent,3.61,m/s
2025-05-16 14:00:00,Vitesse du vent,3.73,m/s
2025-05-16 15:00:00,Vitesse du vent,4.97,m/s
2025-05-16 16:00:00,Vitesse du vent,4.14,m/s
2025-05-16 17:00:00,Vitesse du vent,4.87,m/s
2025-05-16 18:00:00,Vitesse du vent,3.99,m/s
2025-05-16 19:00:00,Vitesse du vent,1.39,m/s
2025-05-16 20:00:00,Vitesse du vent,2.99,m/s
2025-05-16 21:00:00,Vitesse du vent,1.08,m/s
2025-05-16 22:00:00,Vitesse du vent,1.23,m/s
2025-05-16 23:00:00,Vitesse du vent,1.03,m/s
2025-05-17 00:00:00,Vitesse du vent,2.23,m/s
2025-05-17 01:00:00,Vitesse du vent,1.66,m/s
2025-05-17 02:00:00,Vitesse du vent,1.28,m/s
2025-05-17 03:00:00,Vitesse du vent,2.38,m/s
2025-05-17 04:00:00,Vitesse du vent,2.49,m/s
2025-05-17 05:00:00,Vitesse du vent,0.81,m/s
2025-05-17 06:00:00,Vitesse du vent,2.21,m/s
2025-05-17 07:00:00,Vitesse du vent,1.16,m/s
2025-05-17 08:00:00,Vitesse du vent,2.09,m/s
2025-05-17 09:00:00,Vitesse du vent,2.91,m/s
2025-05-17 10:00:00,Vitesse du vent,1.18,m/s
2025-05-17 11:00:00,Vitesse du vent,2.96,m/s
2025-05-17 12:00:00,Vitesse du vent,3.61,m/s
2025-05-17 13:00:00,Vitesse du vent,3.68,m/s
2025-05-17 14:00:00,Vitesse du vent,4.91,m/s
2025-05-17 15:00:00,Vitesse du vent,4.38,m/s
2025-05-16 01:00:00,Température,16.6,°C
2025-05-16 02:00:00,Température,16.3,°C
2025-05-16 03:00:00,Température,16.1,°C
2025-05-16 04:00:00,Température,15.8,°C
2025-05-16 05:00:00,Température,15.6,°C
2025-05-16 06:00:00,Température,15.3,°C
2025-05-16 07:00:00,Température,15.1,°C
2025-05-16 08:00:00,Température,14.9,°C
2025-05-16 11:00:00,Température,15.4,°C
2025-05-16 13:00:00,Température,15.9,°C
2025-05-16 15:00:00,Température,16.5,°C
2025-05-16 17:00:00,Température,17.3,°C
2025-05-16 19:00:00,Température,17.4,°C
2025-05-16 21:00:00,Température,17.1,°C
2025-05-16 22:00:00,Température,16.6,°C
2025-05-16 23:00:00,Température,16.3,°C
2025-05-17 03:00:00,Température,15.5,°C
2025-05-17 04:00:00,Température,14.7,°C
2025-05-17 05:00:00,Température,14.4,°C
2025-05-17 06:00:00,Température,14.2,°C
2025-05-17 07:00:00,Température,14.0,°C
2025-05-17 08:00:00,Température,14.0,°C
