Annee,Activite,Nombre_beneficiaires,Investissement_ mille_dinars,Subvention_mille_dinars,Credit_BTS_mille_dinars
2022,الصيد البحري,34,"368,610","114,152","101,566"
2023,الصيد البحري,17,274,"74,500","20,961"
