type_arbo,superficie_hectares,production_tonnes
قوارص,3,"53,3"
لوز جاف,258,"627,2"
خوخ,"163,5","606,3"
تفاح,"5,5","23,75"
إجاص,10,"49,8"
تين,15,"22,5"
