societe,delegation,secteur,date_de_creation,superficie_hectares
شركة الاحياء والتنمية الفلاحية برج شاكير,سيدي حسين,عمادة برج شاكير,1996,"468,55"
شركة الاحياء والتنمية الفلاحية العطار,سيدي حسين,عمادة العطار ,1996,299
