Delegation,Nb_oliviers_en_production,Production_finale_en_tonne,Production_pluviale_en_tonne,Production_irriguee_en_tonne,Nb_huileries_actifs,Quantites_olives_transferees_en_tonne,Production_Huile_en_tonne
جرجيس,605000,30250,30000,250,33,10000,650
بنقر دان,505000,23250,23000,250,16,5750,450
سيدي مخلوف,245000,11000,10000,1000,3,2000,150
مدنين الشمالية,55000,1750,1500,250,4,1500,100
مدنين الجنوبية,145000,5750,3500,2250,7,6250,350
بني خداش,52500,1700,1575,125,6,1500,50
أجيم,50500,1675,1650,25,6,1500,50
حومة السوق,102500,2325,2200,125,8,1750,100
ميدون,89500,2300,1575,725,2,1750,100
