etablissement de tutelle;université de cotutelle;nom d'etablissement;Nombre d'étudiants;année
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut Supérieur des Etudes Préparatoires en Biologie Géologie de la Soukra;432;2013
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Institut Sylvo-Pastoral de Tabarka;140;2013
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut Supérieur de Peche et d'Aquaculture de Bizerte;200;2013
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Ecole Supérieure d'Agriculture Mateur;309;2013
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Ecole Supérieure d'Agriculture du Kef;354;2013
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Ecole Supérieure des Ingénieurs de Medjez El-Bab;497;2013
institution de la recherche et de l'enseignement superieur agricloes;Université de la Manouba ;Ecole Nationale de Médecine Vétérinaire de Sidi Thabet;424;2013
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut National Agronomique de Tunisie;1379;2013
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Ecole Supérieure d'Agriculture Mograne;395;2013
institution de la recherche et de l'enseignement superieur agricloes;Université de Sousse ;Institut Supérieur Agronomique Chott- Mariem;812;2013
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Ecole Supérieure des Industries Alimentaires de Tunis;658;2013
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut Supérieur des Etudes Préparatoires en Biologie Géologie de la Soukra;471;2012
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Institut Sylvo-Pastoral de Tabarka;112;2012
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut Supérieur de Peche et d'Aquaculture de Bizerte;205;2012
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Ecole Supérieure d'Agriculture Mateur;343;2012
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Ecole Supérieure d'Agriculture du Kef;273;2012
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Ecole Supérieure des Ingénieurs de Medjez El-Bab;554;2012
institution de la recherche et de l'enseignement superieur agricloes;Université de la Manouba ;Ecole Nationale de Médecine Vétérinaire de Sidi Thabet;443;2012
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut National Agronomique de Tunisie;1189;2012
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Ecole Supérieure d'Agriculture Mograne;424;2012
institution de la recherche et de l'enseignement superieur agricloes;Université de Sousse ;Institut Supérieur Agronomique Chott- Mariem;875;2012
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Ecole Supérieure des Industries Alimentaires de Tunis;611;2012
institution de la recherche et de l'enseignement superieur agricloes;Université de la Manouba ;Ecole Nationale de Médecine Vétérinaire de Sidi Thabet;470;2011
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut National Agronomique de Tunisie;1524;2011
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Ecole Supérieure d'Agriculture Mograne;423;2011
institution de la recherche et de l'enseignement superieur agricloes;Université de Sousse ;Institut Supérieur Agronomique Chott- Mariem;1236;2011
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Ecole Supérieure des Industries Alimentaires de Tunis;593;2011
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Ecole Supérieure des Ingénieurs de Medjez El-Bab;741;2011
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Ecole Supérieure d'Agriculture du Kef;445;2011
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Ecole Supérieure d'Agriculture Mateur;346;2011
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut Supérieur des Etudes Préparatoires en Biologie Géologie de la Soukra;608;2011
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Institut Sylvo-Pastoral de Tabarka;118;2011
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut Supérieur de Peche et d'Aquaculture de Bizerte;214;2011
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut Supérieur des Etudes Préparatoires en Biologie Géologie de la Soukra;647;2010
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Institut Sylvo-Pastoral de Tabarka;109;2010
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut Supérieur de Peche et d'Aquaculture de Bizerte;185;2010
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Ecole Supérieure d'Agriculture Mateur;324;2010
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Ecole Supérieure d'Agriculture du Kef;639;2010
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Ecole Supérieure des Ingénieurs de Medjez El-Bab;761;2010
institution de la recherche et de l'enseignement superieur agricloes;Université de la Manouba ;Ecole Nationale de Médecine Vétérinaire de Sidi Thabet;468;2010
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut National Agronomique de Tunisie;1697;2010
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Ecole Supérieure d'Agriculture Mograne;392;2010
institution de la recherche et de l'enseignement superieur agricloes;Université de Sousse ;Institut Supérieur Agronomique Chott- Mariem;1203;2010
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Ecole Supérieure des Industries Alimentaires de Tunis;621;2010
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut National Agronomique de Tunisie;1523;2009
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Ecole Supérieure d'Agriculture Mograne;471;2009
institution de la recherche et de l'enseignement superieur agricloes;Université de Sousse ;Institut Supérieur Agronomique Chott- Mariem;1205;2009
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Ecole Supérieure des Industries Alimentaires de Tunis;598;2009
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Ecole Supérieure des Ingénieurs de Medjez El-Bab;858;2009
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Ecole Supérieure d'Agriculture du Kef;599;2009
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Ecole Supérieure d'Agriculture Mateur;304;2009
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut Supérieur des Etudes Préparatoires en Biologie Géologie de la Soukra;624;2009
institution de la recherche et de l'enseignement superieur agricloes;Université de Jendouba ;Institut Sylvo-Pastoral de Tabarka;144;2009
institution de la recherche et de l'enseignement superieur agricloes;Université de Carthage ;Institut Supérieur de Peche et d'Aquaculture de Bizerte;132;2009
institution de la recherche et de l'enseignement superieur agricloes;Université de la Manouba ;Ecole Nationale de Médecine Vétérinaire de Sidi Thabet;440;2009
