secteur,superficie_labourable_hectares,superficie_irrigable_hectares,superficie_irriguee_hectares,superficie_broussailles_hectares,superficie_forets_boisees_hectares,superficie_terres_non_agricoles_hectares
القطاع الخاص,"5302,84","407,85","141,75","0,15","1875,82","53,64"
القطاع المنظم,"747,16",200,"178,5","5,85","6,18","8,36"
