olives,conduite_culturale,supeficie_cultivee_hectares,production_tonnes
زيتون زيت,en sec,1564,2058
زيتون مائدة,en sec,110,87
زيتون زيت,en irrigué,88,229
زيتون مائدة,en irrigué,10,56
