delegation,huilerie,capacite_trituration_tonnes_par_jour,capacite_stockage_tonnes,type_trituration
سيدي حسين,معصرة بن يدر,140,1120,نظام متواصل
سيدي حسين,معصرة الوكيل,120,200,نظام متواصل
