culture,superficie_irriguee_hectares,production_irriguee_tonnes
البصل الشتوي,2,40
الثوم,0,0
السفنارية,1,30
اللفت,4,80
البسباس,1,25
البروكلو والكرمب,4,100
القنارية,"7,5",150
الجلبانة,0,0
الفول,"0,5","3,5"
المعدنوس,2,40
الكلافس,1,10
السلق,2,40
السبناخ,1,20
الخص,"0,5",5
أنواع أخرى,9,162
