societe,nature_du_produit,quantite_kilos
أزابسكا,قشريات مجمدة,22464
بن حميدة,قشريات مثلجة,"423,5"
بن حميدة,رخويات مثلجة,"327,2"
بن حميدة,أسماك مثلجة,"487,3"
ماديترنيان باسكا, نصف مصبرات سمك أزرق,15920
فيشر,قشريات مثلجة,52
فيشر,رخويات مثلجة,219
فيشر,أسماك مثلجة,"249,5"
فيشر,تربية مائية,480
ديدون ماري,أسماك مثلجة,55
أرابكس,رخويات حية ذات الصدفتين,95
