ANNEE_DOA,DELEGATION,GOUV,INV,PRIMES
2016,زغوان,زغوان,1403435,263492
2016,مساكن,سوسة,2523500,186852
2016,طبرقة,جندوبة,1124920,302689
2016,حلق الوادي,تــونس,458400,65712
2016,تبرسق,باجة,1664383,159517
2010,أوتيك,بنزرت,2701109,328575
2010,السيجومي,تــونس,250000,16450
2010,المحمدية,بن عروس,947600,102243
2011,بني حسان,المنستير,648000,32996
2011,غنوش,قابس,491408,46919
2010,الجريصة,الكاف,576400,71743
2010,سكرة,أريانة,30555,3972
2013,العا لية,بنزرت,313573,36326
2011,منزل بورقيبة,بنزرت,461526,102328
2011,الغزالة,بنزرت,1161348,166800
2011,حومة السوق,مدنين,333813,37647
2012,الفوار,قبلي,394817,69187
2012,الزريبة,زغوان,464784,43696
2012,مقرين,بن عروس,37000,4244
2012,تطاوين الجنوبية,تطاوين,552757,106812
2012,منزل جميل,بنزرت,518415,70781
2013,صفاقس المدينة,صفاقس,13620459,872561
2013,نفطة,توزر,1379645,209894
2013,منزل تميم,نابل,459623,63078
2012,العا لية,بنزرت,410952,99554
2014,سوق الأحد,قبلي,1292981,167765
2015,مدنين الجنوبية,مدنين,926457,206980
2014,سكرة,أريانة,61200,6673
2015,سيدي علي نصرالله,القيروان,333000,34026
2015,سيدي الهاني,سوسة,255000,24681
2016,أكودة,سوسة,148000,15855
2016,حمام الغزاز,نابل,250680,37950
2010,قابس الغربية,قابس,584583,134808
2010,عين دراهم,جندوبة,91199,6384
2011,حيدرة,القصرين,181528,46751
2011,مساكن,سوسة,243500,11935
2013,عقارب,صفاقس,1231956,126676
2014,حمام الغزاز,نابل,18278,3838
2014,المنستير,المنستير,74500,13970
2014,الناظور,زغوان,279124,61437
2015,المحمدية,بن عروس,979000,177552
2016,العلا,القيروان,714000,106399
2011,صواف,زغوان,1293903,122403
2013,النفيضة,سوسة,447500,43900
2013,أكودة,سوسة,408000,29931
2012,تيبار,باجة,171500,12005
2013,سوسة الرياض,سوسة,44000,2086
2014,المنيهلة,أريانة,60115,3462
2013,حي الخضراء,تــونس,48550,2659
2014,مطماطة الجديدة,قابس,360831,58169
2015,بن عروس,بن عروس,2774000,172231
2015,منزل جميل,بنزرت,292950,61270
2015,حمام سوسة,سوسة,156500,22517
2015,القصرين الشما لية,القصرين,28088,1966
2016,أريانة المدينة,أريانة,176000,28980
2010,سوسة الرياض,سوسة,21000,2730
2014,كندار,سوسة,57000,3475
2015,طينة,صفاقس,42363,3080
2016,رادس,بن عروس,60000,3267
2010,المتلوي,قفصة,55193,15524
2010,المرناقية,منــوبة,984954,149533
2010,توزر,توزر,804225,146189
2010,مارث,قابس,3260871,751917
2010,قابس المدينة,قابس,950238,170287
2011,مكثر,سليانة,1732000,319698
2010,القيروان الجنوبية,القيروان,1820199,308813
2011,فوشانة,بن عروس,1897300,100730
2010,زغوان,زغوان,3155219,498702
2010,قفصة الشما لية,قفصة,4618799,1067540
2011,باجة الشما لية,باجة,2195684,331447
2011,العروسة,سليانة,1239000,105091
2011,منزل بوزلفة,نابل,2375009,264788
2010,حزوة,توزر,738434,203766
2010,سيدي بوزيد الشرقية,سيدي بوزيد,11670677,926971
2011,سيدي بوزيد الشرقية,سيدي بوزيد,2745753,598547
2010,قبلي الجنوبية,قبلي,2511872,479687
2010,دار شعبان الفهري,نابل,688842,119658
2010,الشراردة,القيروان,593500,114096
2010,سبا لة أولاد عسكر,سيدي بوزيد,1139293,230797
2010,مكثر,سليانة,1362400,294867
2011,بن قردان,مدنين,2959574,544804
2010,القطار,قفصة,405352,90974
2011,قعفور,سليانة,539000,100111
2011,الجم,المهدية,908000,144144
2011,سيدي بوزيد الغربية,سيدي بوزيد,1853449,361822
2010,تا لة,القصرين,491108,110797
2010,السبيخة,القيروان,1333131,236967
2011,الشبيكة,القيروان,2399000,376095
2011,جلمة,سيدي بوزيد,1932112,340081
2011,المحمدية,بن عروس,954300,164949
2011,سليمان,نابل,837818,154534
2010,القصور,الكاف,1677000,224008
2010,سوسة المدينة,سوسة,150500,9295
2010,قلعة الخصبة,الكاف,909400,153535
2011,قابس الجنوبية,قابس,1959018,414618
2010,دوز الشما لية,قبلي,883517,182137
2010,الزريبة,زغوان,400994,75394
2012,سيدي علوان,المهدية,1451000,255523
2011,حفوز,القيروان,2179000,172933
2011,سيدي علي نصرالله,القيروان,721200,128084
2011,الوسلاتية,القيروان,181500,29351
2011,الميدة,نابل,501270,63672
2012,الساحلين,المنستير,1054500,67239
2012,بني خداش,مدنين,942380,191763
2012,الرقاب,سيدي بوزيد,15793462,2546266
2012,تاجروين,الكاف,720680,113946
2012,السبيخة,القيروان,17176000,1640972
2012,القيروان الجنوبية,القيروان,2337000,381462
2012,الصخيرة,صفاقس,937014,166977
2012,فوشانة,بن عروس,352000,55995
2012,القصرين الجنوبية,القصرين,3408251,737407
2012,الروحية,سليانة,1672000,349866
2012,المنستير,المنستير,1963190,142500
2012,ساقية سيدي يوسف,الكاف,2065600,353070
2012,بوفيشة,سوسة,2098850,160477
2012,منزل شاكر,صفاقس,1804291,316956
2013,مجاز الباب,باجة,5577889,503874
2012,هبيرة,المهدية,1812000,322182
2013,سبيبة,القصرين,5791075,1202209
2013,السند,قفصة,3318988,753671
2012,تستور,باجة,1469709,323590
2013,بوفيشة,سوسة,506000,80639
2013,منزل الحبيب,قابس,4901121,578636
2013,أوتيك,بنزرت,2473179,397186
2012,قعفور,سليانة,816000,181892
2012,بلطة بوعوان,جندوبة,709887,86798
2012,السواسي,المهدية,2344100,493311
2012,قلعة الأندلس,أريانة,647880,70057
2012,قلعة الخصبة,الكاف,809575,132514
2013,قفصة الجنوبية,قفصة,6603336,1016016
2012,حاجب العيون,القيروان,1854000,302310
2012,طينة,صفاقس,1365000,104855
2013,باجة الشما لية,باجة,1695786,229264
2013,رمادة,تطاوين,4524292,654060
