ANNEE_DOA,DELEGATION,GOUV,INV,PRIMES
2011,مارث,قابس,1646858,343117
2011,المزونة,سيدي بوزيد,2011872,463422
2011,برج العامري,منــوبة,1148369,244289
2011,برقو,سليانة,204000,51334
2012,سيدي بوزيد الغربية,سيدي بوزيد,2308092,377399
2013,هبيرة,المهدية,1093300,94265
2012,توزر,توزر,659210,137044
2012,باجة الجنوبية,باجة,2508227,297831
2012,الشابة,المهدية,2316000,207640
2011,القصر,قفصة,551466,98342
2012,جلمة,سيدي بوزيد,1677490,318626
2012,سوق الجديد,سيدي بوزيد,1283387,151453
2011,سيدي ثابت,أريانة,629500,126344
2011,ميدون,مدنين,116052,30559
2012,صفاقس المدينة,صفاقس,25187027,1358444
2011,بني خداش,مدنين,283510,61223
2012,رمادة,تطاوين,950954,229546
2012,تطاوين الشما لية,تطاوين,2419186,511695
2012,الصمّار,تطاوين,1193002,257654
2012,زغوان,زغوان,8989670,535768
2012,حاسي الفريد,القصرين,289368,70260
2012,حمام الغزاز,نابل,2046455,109170
2012,العيون,القصرين,637014,133950
2012,قبلاط,باجة,4405328,301456
2013,الروحية,سليانة,1379000,299915
2012,المكناسي,سيدي بوزيد,2230543,401141
2012,جرجيس,مدنين,3566821,609837
2013,جندوبة,جندوبة,1783831,213873
2013,السرس,الكاف,2631191,375831
2013,تستور,باجة,5666024,498978
2013,نبر,الكاف,1667690,331454
2013,سيدي بوزيد الغربية,سيدي بوزيد,2587807,348366
2013,الشراردة,القيروان,1178616,164038
2013,بني خيار,نابل,4876816,291854
2013,مرناق,بن عروس,4138226,532421
2013,قلعة الخصبة,الكاف,633611,118240
2013,الحمامات,نابل,369674,60427
2013,قرمبا لية,نابل,5159841,403828
2014,بني خيار,نابل,4156847,417236
2013,بلطة بوعوان,جندوبة,1386708,97325
2013,غارالدماء,جندوبة,293951,41091
2013,واد مليز,جندوبة,671546,107950
2014,نفطة,توزر,1270428,228831
2014,مجاز الباب,باجة,12460336,1907469
2014,قلعة الأندلس,أريانة,1669125,189339
2014,مرناق,بن عروس,8243750,1076109
2014,سيدي بوزيد الشرقية,سيدي بوزيد,2968013,581324
2014,البقا لطة,المنستير,8532800,419307
2014,بني خداش,مدنين,134021,32738
2014,سيدي علوان,المهدية,150000,18602
2014,قابس الغربية,قابس,774599,162469
2013,منزل بوزلفة,نابل,4695528,317308
2013,مدنين الجنوبية,مدنين,675973,151681
2014,قلعة سنان,الكاف,264450,30454
2015,الرقاب,سيدي بوزيد,26038234,3966785
2014,القصرين الشما لية,القصرين,43355,2639
2014,دار شعبان الفهري,نابل,2832495,317846
2014,عمدون,باجة,1101258,171527
2014,حزوة,توزر,160134,35318
2014,تطاوين الشما لية,تطاوين,3797021,719241
2015,أولاد حفوز,سيدي بوزيد,2857745,561570
2015,بئر مشارقة,زغوان,6087186,524838
2015,حي الخضراء,تــونس,57900,3135
2015,الروحية,سليانة,1592000,357175
2015,طبرقة,جندوبة,1059680,221882
2015,منزل تميم,نابل,2975939,164624
2015,باجة الشما لية,باجة,1729928,281609
2015,قليبية,نابل,2983560,488593
2015,بوفيشة,سوسة,579000,95860
2015,القيروان الجنوبية,القيروان,6712000,877044
2015,مطماطة الجديدة,قابس,735017,91469
2015,تا لة,القصرين,1739235,390965
2014,قلعة الخصبة,الكاف,282156,51325
2014,بو مرداس,المهدية,2027000,95314
2015,زرمدين,المنستير,187900,23202
2014,دقاش,توزر,615083,94194
2015,رمادة,تطاوين,1362986,304796
2015,قرمبا لية,نابل,9077009,708949
2015,تطاوين الجنوبية,تطاوين,615351,104577
2015,الجم,المهدية,1205000,137667
2015,توزر,توزر,793417,143807
2015,العلا,القيروان,239000,21086
2016,جرزونة,بنزرت,821750,201664
2015,قفصة الجنوبية,قفصة,4227582,769975
2015,صيادة لمطة بوحجر,المنستير,1448500,261115
2016,بن قردان,مدنين,2659084,491368
2016,سليانة الشما لية,سليانة,1524000,311696
2015,جبنيانة,صفاقس,327361,19526
2015,الشراردة,القيروان,1509000,131697
2016,الهوارية,نابل,20835590,1100523
2016,الكاف الشرقية,الكاف,4335950,547130
2016,قفصة الجنوبية,قفصة,3126731,641675
2016,الذهيبة,تطاوين,234420,49104
2016,ماطر,بنزرت,6253730,841600
2016,بوعرقوب,نابل,1461317,155238
2016,جرجيس,مدنين,5472421,760854
2016,سيدي عمر بوحجلة,القيروان,2162000,243229
2016,الصمّار,تطاوين,1747578,254185
2016,الروحية,سليانة,1095031,255310
2016,الشابة,المهدية,5745500,767697
2016,مجاز الباب,باجة,3063855,476976
2016,سوق الجديد,سيدي بوزيد,1118578,248704
2016,السبيخة,القيروان,3215000,441597
2016,قليبية,نابل,6819228,688220
2016,منزل جميل,بنزرت,221000,19518
2016,تستور,باجة,3255416,456818
2016,السواسي,المهدية,1227500,194973
2016,بني حسان,المنستير,2383800,134345
2016,تا لة,القصرين,772738,188993
2016,قصيبة المديوني,المنستير,186500,19895
2016,الصخيرة,صفاقس,1614591,327563
2016,الجديدة,منــوبة,1431443,169348
2016,ميدون,مدنين,85233,12064
2012,سجنان,بنزرت,435897,46565
2010,بوفيشة,سوسة,265600,44167
2010,جومين,بنزرت,880582,199828
2010,سيدي حسين,تــونس,635583,75014
2010,صواف,زغوان,2241571,216758
2012,جمال,المنستير,331200,32127
2013,منزل بورقيبة,بنزرت,3460580,561567
2013,المحمدية,بن عروس,228000,38500
2013,الرديف,قفصة,161184,41129
2014,الميدة,نابل,362829,35825
2013,سيدي ثابت,أريانة,1313115,184247
2014,بوفيشة,سوسة,553500,63424
2015,حيدرة,القصرين,325655,77269
2014,دوز الجنوبية,قبلي,2032690,307128
2016,مطماطة الجديدة,قابس,496703,91836
2015,منزل بوزيان,سيدي بوزيد,2378639,421457
2014,العامرة,صفاقس,221259,20519
2015,مكثر,سليانة,1103000,236413
2015,سوق الجديد,سيدي بوزيد,1205143,211640
2016,مدنين الشما لية,مدنين,1004298,182960
2015,الوسلاتية,القيروان,433000,35784
2016,تطاوين الجنوبية,تطاوين,199867,34294
2010,القلعة الصغرى,سوسة,132600,27173
2011,الرديف,قفصة,291840,55358
2011,القطار,قفصة,461122,85586
2013,بلخير,قفصة,133922,17597
2013,جدليان,القصرين,427482,106584
2015,البقا لطة,المنستير,942600,100216
2015,قصيبة المديوني,المنستير,162300,14800
2016,المرسى,تــونس,82600,8246
2012,حومة السوق,مدنين,135779,14184
2013,قصيبة المديوني,المنستير,55200,5720
2013,أريانة المدينة,أريانة,891300,59915
2012,ساقية الدائر,صفاقس,56565,3402
2014,المزونة,سيدي بوزيد,587879,116649
2016,صواف,زغوان,98162,15906
2015,أكودة,سوسة,2756000,165862
2015,منوبة,منــوبة,38054,7180
2010,حمام الأنف,بن عروس,33000,4290
2010,الساحلين,المنستير,155700,9939
2014,أكودة,سوسة,132000,19172
2014,تينجة,بنزرت,16000,5749
2015,القصيبة الزاوية الثريات,سوسة,50000,14250
2013,حمام الأنف,بن عروس,31200,4056
2013,بنزرت الشما لية,بنزرت,15185,1063
2011,باردو,تــونس,54000,1972
2011,حما م الشط,بن عروس,5500000,191199
2015,سوسة المدينة,سوسة,70000,12498
2010,الجديدة,منــوبة,5239230,624212
2010,الحامة,قابس,8616803,1086047
2010,مجاز الباب,باجة,14234836,1005097
2010,الكريب,سليانة,2487500,316239
2010,باجة الجنوبية,باجة,1288588,275529
2010,الناظور,زغوان,670723,133493
2010,منزل جميل,بنزرت,348659,76369
2010,بوسا لم,جندوبة,1856361,202106
2010,قرمبا لية,نابل,4710650,419715
2011,الجديدة,منــوبة,5728843,848496
2010,رمادة,تطاوين,2879889,648955
2010,الهوارية,نابل,5672193,334097
2010,المهدية,المهدية,7069100,364929
2010,عقارب,صفاقس,937290,217403
2011,طبلبة,المنستير,19766400,1137010
2014,ساقية سيدي يوسف,الكاف,1236030,269799
2014,الروحية,سليانة,1812000,411016
2011,هبيرة,المهدية,2515500,455349
2011,سيدي مخلوف,مدنين,618950,122572
2011,جمال,المنستير,177800,14477
2011,سيدي عيش,قفصة,3024512,544694
2011,قرقنة,صفاقس,357436,24313
2011,غار الملح,بنزرت,8040273,561593
2010,تطاوين الجنوبية,تطاوين,487187,99146
2011,قلعة الأندلس,أريانة,635269,121634
2010,بني خيار,نابل,7989850,490990
2010,دوز الجنوبية,قبلي,1006396,184893
2010,واد الليل,منــوبة,1292272,96168
2011,تاكلسة,نابل,2196795,234893
2010,أجيم,مدنين,470300,65919
2011,نابل,نابل,2084058,136152
2011,حزوة,توزر,797350,131159
2012,بن قردان,مدنين,1359591,257781
2011,سيدي علوان,المهدية,2072000,391421
2012,غار الملح,بنزرت,4044043,231803
2012,سبيطلة,القصرين,7797170,1405813
2012,حفوز,القيروان,1135000,166917
2012,المكنين,المنستير,2782400,160107
2012,الميدة,نابل,199231,33003
2012,الهوارية,نابل,2768664,188793
2012,بوعرقوب,نابل,1061373,166081
2013,الشبيكة,القيروان,1821629,225282
2012,مدنين الجنوبية,مدنين,1282044,207756
2011,بوفيشة,سوسة,210300,25072
2012,أوتيك,بنزرت,2197537,269293
2012,تاكلسة,نابل,2659200,369157
2011,المظيلة,قفصة,199087,47026
2012,العروسة,سليانة,553000,107089
2013,منزل بوزيان,سيدي بوزيد,1160007,164881
2013,الفوار,قبلي,1487584,447281
2014,الشابة,المهدية,11236000,815925
2013,المكناسي,سيدي بوزيد,1259184,271646
2012,المطوية,قابس,1673424,270987
2012,الكاف الغربية,الكاف,622735,124059
2012,صواف,زغوان,82390,13083
2012,حزوة,توزر,57000,15782
2012,جدليان,القصرين,471676,112390
2012,أولاد الشامخ,المهدية,1000000,162772
2013,غار الملح,بنزرت,1565493,316154
2012,الغريبة,صفاقس,609096,129264
2013,الوردانين,المنستير,215600,30403
2013,بو مرداس,المهدية,219100,25426
2013,عمدون,باجة,3872950,184857
2013,الميدة,نابل,970175,104675
2013,قبلاط,باجة,904785,113858
2013, الفحص,زغوان,2207114,417679
2013,بوسا لم,جندوبة,4572057,438963
2013,الحنشة,صفاقس,244571,52381
2013,الدهماني,الكاف,3324972,369918
2013,قفصة الشما لية,قفصة,6100257,1338411
2013,الصمّار,تطاوين,1731982,334408
2014,قابس المدينة,قابس,1112408,181914
2014,ماجل با لعباس,القصرين,1618321,373435
2014,الحامة,قابس,5351013,739365
2014,منزل الحبيب,قابس,360475,76163
2014,برج العامري,منــوبة,1459573,205711
2014,الهوارية,نابل,3761543,321124
2014,بوعرقوب,نابل,6289256,538734
2015,الفوار,قبلي,3315329,1018751
2014,الحنشة,صفاقس,692995,62003
2013,حاسي الفريد,القصرين,1134280,265348
2014,سيدي بوزيد الغربية,سيدي بوزيد,3215842,386235
2013,جمال,المنستير,293600,16623
2014,سوسة المدينة,سوسة,304000,33190
2014,الفوار,قبلي,1580310,425847
2014,سيدي مخلوف,مدنين,279302,70951
2014,جلمة,سيدي بوزيد,4124109,711032
2014,المكنين,المنستير,673200,68977
2014,بومهل البساتين,بن عروس,277000,17402
2015,أولاد الشامخ,المهدية,700200,102937
2015,فوسانة,القصرين,10052567,2106007
2014,حومة السوق,مدنين,310462,55333
2015,صفاقس المدينة,صفاقس,26884411,1622142
2014,الحمامات,نابل,404356,84070
2014,بنبلة,المنستير,141800,11442
2014,المحرس,صفاقس,1189513,179878
2014,قبلي الشما لية,قبلي,616736,117324
2014,تاجروين,الكاف,1766043,181704
2014,بلطة بوعوان,جندوبة,1736087,129282
2014,سليمان,نابل,519114,41557
2014,غنوش,قابس,236390,32054
2015,جرزونة,بنزرت,4604715,843381
2015,دار شعبان الفهري,نابل,863320,78407
2015, الفحص,زغوان,8196756,1181560
2015,السبيخة,القيروان,1611000,177207
2015,بن قردان,مدنين,3168678,558218
2015,بلخير,قفصة,488542,78449
2015,الكاف الغربية,الكاف,707979,106623
2015,صواف,زغوان,2800869,155484
2015,ساقية الزيت,صفاقس,865000,51461
2016,الفوار,قبلي,1672867,531685
2015,سيدي بوزيد الغربية,سيدي بوزيد,1696288,238918
2015,نبر,الكاف,2280844,443488
2015,تاجروين,الكاف,575500,87668
2015,مارث,قابس,2779322,514997
2016,طبربة,منــوبة,1370177,225636
2016,القيروان الشما لية,القيروان,96595000,19110344
2016,حاجب العيون,القيروان,1724000,262669
2015,جندوبة الشما لية,جندوبة,727961,98815
2016,السرس,الكاف,2039638,403070
2016,بئر الحفي,سيدي بوزيد,4187179,883769
2016,مدنين الجنوبية,مدنين,1674339,255437
2016,سبيبة,القصرين,5681633,1055148
2016,راس الجبل,بنزرت,674967,97208
2016,دوز الجنوبية,قبلي,1167964,236510
2016,الجم,المهدية,3870500,276787
2016,الكريب,سليانة,4970000,941072
2016,الغريبة,صفاقس,594246,133687
2016,حيدرة,القصرين,152959,29668
2016,تيبار,باجة,155536,24169
2016,رمادة,تطاوين,1607604,363630
2016,منزل بوزيان,سيدي بوزيد,3322179,556632
2016,المتلوي,قفصة,496668,115270
2016,بومهل البساتين,بن عروس,363500,34280
2011,بئر علي بن خليفة,صفاقس,772726,166052
2011,أم  العرائس,قفصة,1357054,277682
2010,العلا,القيروان,180500,17682
2011,أجيم,مدنين,28800,3744
2011,قبلي الشما لية,قبلي,426645,74080
2011,عقارب,صفاقس,2531960,508645
2010,صيادة لمطة بوحجر,المنستير,818500,127195
2011,المرسى,تــونس,206000,14950
2010,بني حسان,المنستير,148500,29070
2011,شربان,المهدية,1007550,193103
2012,دوز الشما لية,قبلي,235541,42081
2012,كندار,سوسة,268200,16536
2013,حلق الوادي,تــونس,950145,113114
2013,سيدي الهاني,سوسة,122500,13171
2014,الزريبة,زغوان,5758499,761964
2014,المرناقية,منــوبة,15277906,802394
2015,جمال,المنستير,138100,14179
2015,واد الليل,منــوبة,372368,31216
2016,سيدي الهاني,سوسة,439000,83103
2016,دوز الشما لية,قبلي,500062,80524
2016,بو مرداس,المهدية,266000,18041
2016,رجيم معتوق,قبلي,549544,114491
2016,تمغزة,توزر,258337,49922
2016,سليانة الجنوبية,سليانة,1104000,194738
2011,النفيضة,سوسة,124000,24254
2011,بو مرداس,المهدية,318500,57254
2010,القصرين الشما لية,القصرين,524573,64657
2013,حمام سوسة,سوسة,2800,185
2015,رادس,بن عروس,151000,13539
2016,بلخير,قفصة,907076,237340
2011,الذهيبة,تطاوين,22201,5339
2013,هرقلة,سوسة,536500,19698
2013,صيادة لمطة بوحجر,المنستير,28200,4641
2013,المتلوي,قفصة,151392,32413
2014,المتلوي,قفصة,177262,40881
2016,رواد,أريانة,34720,5505
2016,المحمدية,بن عروس,372900,14260
2016,بنزرت الشما لية,بنزرت,44000,3080
2016,سكرة,أريانة,4000,163
2016,القصيبة الزاوية الثريات,سوسة,52000,2768
2016,الحنشة,صفاقس,236929,45517
2010,ميدون,مدنين,3502,866
2011,بنزرت الشما لية,بنزرت,30751,1790
2010,الرديف,قفصة,60658,14804
2013,ساقية الزيت,صفاقس,59222,5345
2015,فوشانة,بن عروس,4117000,265956
2011,صفاقس الغربية,صفاقس,522000,62892
2014,سيدي حسين,تــونس,476000,86200
2015,تينجة,بنزرت,4380000,187209
2016,حمام سوسة,سوسة,6600000,367028
2011,المروج,بن عروس,28000,3639
2016,المرناقية,منــوبة,59000,14750
2010,البئر الأحمر,تطاوين,7399,2081
2012,ميدون,مدنين,39107,4928
2014,منوبة,منــوبة,346000,65959
2010,سبيطلة,القصرين,7649469,1519526
2010,الحرايرية,تــونس,533000,74317
2010,مطماطة الجديدة,قابس,3711347,623715
2010,مدنين الجنوبية,مدنين,1609174,303112
2010, الفحص,زغوان,2947521,472788
2011,جندوبة,جندوبة,3901206,484313
2011,جبنيانة,صفاقس,330100,87277
2010,بئر علي بن خليفة,صفاقس,536625,92279
2010,المكناسي,سيدي بوزيد,1985829,409696
2010,السند,قفصة,774012,189305
2011,ساقية سيدي يوسف,الكاف,1377700,203377
2010,غارالدماء,جندوبة,583612,64854
2014,سبيطلة,القصرين,18187503,2357250
2010,جمال,المنستير,1158400,59320
2011,بئر مشارقة,زغوان,2103525,339961
2011,سجنان,بنزرت,587302,118344
2010,غار الملح,بنزرت,904621,190120
2011,قليبية,نابل,2794542,415082
2011,سوق الجديد,سيدي بوزيد,1264327,269944
2010,القصرين الجنوبية,القصرين,1856559,358831
2011,أوتيك,بنزرت,2626397,388585
2011,القلعة الكبرى,سوسة,1080300,97826
2011,سبيطلة,القصرين,6119108,1290388
2010,عمدون,باجة,173614,32313
2010,سليانة الشما لية,سليانة,1114200,276009
2011,قربة,نابل,4102026,305470
2010,الكاف الغربية,الكاف,856427,140925
2010,نابل,نابل,516838,61593
2011,نفزة,باجة,282884,49102
2010,جندوبة,جندوبة,1842689,276240
2011,دوز الجنوبية,قبلي,594763,95618
2010,جندوبة الشما لية,جندوبة,732060,74534
2010,مساكن,سوسة,226000,39426
2011,بنزرت الجنوبية,بنزرت,1460650,288219
2011,بلطة بوعوان,جندوبة,4750291,280025
2010,الزهراء,بن عروس,63500,8256
2010,منزل بورقيبة,بنزرت,382583,98631
2010,أولاد حفوز,سيدي بوزيد,874294,185158
2010,المطوية,قابس,1359785,274897
2012,المزونة,سيدي بوزيد,2616561,371641
2011,السرس,الكاف,1477100,206973
2011,البطان,منــوبة,522057,70081
2012,واد مليز,جندوبة,680621,98152
2011,سيدي بورويس,سليانة,1113000,157343
2012,تونس المدينة,تــونس,2000,232
2012,مطماطة الجديدة,قابس,1086488,185615
2012,برج العامري,منــوبة,1675421,288782
2011,تطاوين الشما لية,تطاوين,1793069,370504
2012,قبلي الشما لية,قبلي,283856,54606
2012,الناظور,زغوان,215206,34479
2012,جندوبة الشما لية,جندوبة,3655291,246995
2012,سبا لة أولاد عسكر,سيدي بوزيد,1210831,241573
2012,منزل بوزيان,سيدي بوزيد,543746,103528
2012,القصور,الكاف,2812485,445252
2012,الشبيكة,القيروان,2027000,235821
2012,مدنين الشما لية,مدنين,857120,213011
2013,الغزالة,بنزرت,991984,106111
2012,قرمبا لية,نابل,2102402,289236
2012,جبنيانة,صفاقس,326057,34193
2012,الكاف الشرقية,الكاف,1366230,265750
2012,النفيضة,سوسة,301000,19433
2011,عين دراهم,جندوبة,151475,10603
2012,سليانة الجنوبية,سليانة,621000,141274
2012,قربة,نابل,3216334,322170
2013,ماطر,بنزرت,16178830,1204388
2012,الغزالة,بنزرت,970621,110641
2011,راس الجبل,بنزرت,542928,90520
2012,بني خلاد,نابل,742942,114122
2013,سبيطلة,القصرين,10597836,2044541
2013,قابس الجنوبية,قابس,2504137,496192
2013,سيدي علي بن عون,سيدي بوزيد,1976034,393305
2012,سوق الأحد,قبلي,1281381,371167
2013,الرقاب,سيدي بوزيد,14658406,2755890
2012,سيدي عيش,قفصة,6516980,1151888
2013,زرمدين,المنستير,330200,18274
2012,سيدي ثابت,أريانة,211711,49763
2012,بني خيار,نابل,5359644,377178
2012,الحامة,قابس,5747212,764574
2012,أم  العرائس,قفصة,1396427,317848
2012,بلخير,قفصة,294909,60587
2012,نفطة,توزر,429791,82045
2012,قرقنة,صفاقس,524697,135258
2012,دار شعبان الفهري,نابل,817090,120813
2013,تاكلسة,نابل,1383449,241203
2013,نابل,نابل,579087,87844
2013,سيدي علي نصرالله,القيروان,1145000,146607
2013,بنزرت الجنوبية,بنزرت,7426299,559117
2013,دقاش,توزر,1083232,202101
2013,زغوان,زغوان,1797209,236510
2012,قبلي الجنوبية,قبلي,1479166,258405
2013,العامرة,صفاقس,918664,157115
2013,الساحلين,المنستير,80700,7160
2013,المرناقية,منــوبة,1382094,160553
2014,راس الجبل,بنزرت,1341110,64223
2014,مكثر,سليانة,1102000,251722
2014,واد مليز,جندوبة,1562452,137994
2014,بنزرت الجنوبية,بنزرت,1292234,203159
2014,طبرقة,جندوبة,959720,140624
2014,غمراسن,تطاوين,1215119,247312
2013,طبلبة,المنستير,6912000,602372
2013,برقو,سليانة,1064000,248201
2013,بنبلة,المنستير,106000,5183
2015,تبرسق,باجة,1341845,172555
2014,مدنين الجنوبية,مدنين,1313171,272283
2014,باجة الجنوبية,باجة,23763187,4322137
2014,زرمدين,المنستير,537400,31866
2015,غار الملح,بنزرت,444442,75615
2014,حاجب العيون,القيروان,2385000,442300
2014,الصخيرة,صفاقس,782172,155382
2014,منزل بوزلفة,نابل,2851881,319636
2015,الحامة,قابس,11739817,1633250
2015,شربان,المهدية,1805500,329807
2015,فرنانة,جندوبة,520229,37768
2015,الدهماني,الكاف,2190516,241214
2015,باجة الجنوبية,باجة,1983430,347189
2015,سجنان,بنزرت,832889,89060
2014,العا لية,بنزرت,269270,30758
2015,ماطر,بنزرت,4522287,553845
2015,قابس الغربية,قابس,274213,43056
2015,عمدون,باجة,1239621,171551
2015,بني خيار,نابل,14935871,884795
2015,سليمان,نابل,600258,46619
2015,الجريصة,الكاف,495944,49152
2015,قفصة الشما لية,قفصة,5659461,1242955
2015,نابل,نابل,377779,54067
2015,قربة,نابل,9094229,538635
2014,المطوية,قابس,806215,155542
2015,حمام الغزاز,نابل,188712,42086
2015,بومهل البساتين,بن عروس,924600,66725
2016,سيدي بوزيد الغربية,سيدي بوزيد,2570997,431653
2016,ساقية سيدي يوسف,الكاف,1205946,232033
2015,برقو,سليانة,738000,115328
2016,الحامة,قابس,10293022,1588236
2016,المكنين,المنستير,5640900,190238
2015,سيدي علي بن عون,سيدي بوزيد,1578918,322876
2016,جبنيانة,صفاقس,710786,42573
2016,بلطة بوعوان,جندوبة,2161251,280088
2016,غنوش,قابس,867781,104206
2016,حومة السوق,مدنين,970318,151271
2016,باجة الشما لية,باجة,2260568,192967
2016,سيدي علي بن عون,سيدي بوزيد,5693330,943133
2016,فريانة,القصرين,3828901,834504
2016,قرمبا لية,نابل,2990694,311585
2016,العامرة,صفاقس,509548,90764
2016,الجريصة,الكاف,124448,18273
2016,بوعرادة,سليانة,2340000,487990
2016,الوسلاتية,القيروان,255000,14520
2016,ساقية الدائر,صفاقس,363425,46686
2016,الساحلين,المنستير,193900,26587
2016,باجة الجنوبية,باجة,914848,203453
2010,جبنيانة,صفاقس,624321,74933
2011,تطاوين الجنوبية,تطاوين,599627,123226
2010,حمام الغزاز,نابل,873158,53295
2011,البئر الأحمر,تطاوين,11513,5534
2010,حلق الوادي,تــونس,68325,8834
2011,سيدي الهاني,سوسة,205000,20951
2011,سوسة المدينة,سوسة,11972000,633621
2010,صفاقس الجنوبية,صفاقس,1352400,106908
2010,البقا لطة,المنستير,181600,12839
2011,المرناقية,منــوبة,713534,72175
2012,المحمدية,بن عروس,2059950,143800
2013,قابس الغربية,قابس,167286,40988
2013,القصر,قفصة,747534,113346
2013,صواف,زغوان,78880,14160
2012,قصيبة المديوني,المنستير,55000,2800
2014,نابل,نابل,99895,9468
2014,سيدي عمر بوحجلة,القيروان,1234000,132995
2014,عين دراهم,جندوبة,258910,17627
2013,القطار,قفصة,720653,169261
2014,تطاوين الجنوبية,تطاوين,316053,67189
2014,القطار,قفصة,765936,133966
2014,سجنان,بنزرت,491701,73000
2015,الغزالة,بنزرت,628669,52351
2015,القلعة الصغرى,سوسة,550000,100720
2016,القصر,قفصة,714297,151543
2016,البقا لطة,المنستير,4618450,324749
2016,دقاش,توزر,1274252,237919
2016,نابل,نابل,176851,23461
2016,هرقلة,سوسة,997500,48517
2010,كندار,سوسة,234000,20812
2012,أجيم,مدنين,349000,80790
2015,قصور الساف,المهدية,4751000,573216
2015,سيدي حسين,تــونس,55800,4410
2015,نفزة,باجة,270134,23111
2016,صفاقس الجنوبية,صفاقس,1748564,122850
2016,سجنان,بنزرت,725960,49177
2011,القصرين الشما لية,القصرين,29761,6005
2010,نفطة,توزر,464924,56245
2011,مدنين الشما لية,مدنين,715140,137335
2014,المنزه,تــونس,17250,1861
2014,قصيبة المديوني,المنستير,417000,52057
2014,بني حسان,المنستير,1179900,91855
2014,سيدي بوعلي,سوسة,102000,6428
2015,عين دراهم,جندوبة,197888,13205
2014,المرسى,تــونس,245070,39228
2011,ساقية الدائر,صفاقس,133500,22304
2010,حمام سوسة,سوسة,21000,2730
2011,الساحلين,المنستير,51000,7577
2012,بومهل البساتين,بن عروس,125000,14805
2012,الحنشة,صفاقس,241022,45635
2014,حما م الشط,بن عروس,164000,9528
2013,ميدون,مدنين,372600,71048
2012,تينجة,بنزرت,62500,15625
2014,العمران,تــونس,4500,459
2010,بنبلة,المنستير,263500,14962
2010,سوق الجديد,سيدي بوزيد,621821,116224
2010,الشبيكة,القيروان,1844100,272455
2010,برج العامري,منــوبة,2326454,382035
2010,قعفور,سليانة,5198850,603761
2010,فوسانة,القصرين,4573200,992075
2011,مرناق,بن عروس,8466000,1295517
2010,العيون,القصرين,372596,72787
2010,أم  العرائس,قفصة,1026984,218790
2010,سبيبة,القصرين,4654557,905927
2011,السواسي,المهدية,1196600,218896
2010,سيدي علي بن عون,سيدي بوزيد,3047622,469770
2011,ماطر,بنزرت,2523293,414259
2010,السرس,الكاف,1248108,198438
2011,رمادة,تطاوين,3430614,706454
2011,سيدي علي بن عون,سيدي بوزيد,1706083,376055
2011,القيروان الجنوبية,القيروان,1479500,212747
2011,حلق الوادي,تــونس,650106,70034
2010,نبر,الكاف,1220000,194659
2010,منزل بوزلفة,نابل,479637,114276
2010,الميدة,نابل,210227,26493
2010,النفيضة,سوسة,1770800,158668
2011,دار شعبان الفهري,نابل,789073,111639
2011,القصرين الجنوبية,القصرين,2073000,462627
2011,منزل تميم,نابل,505552,37887
2011,الكريب,سليانة,1433000,149842
2011,زغوان,زغوان,11232705,970037
2011,الناظور,زغوان,1105662,112369
2011,العيون,القصرين,398602,94245
2010,بوعرقوب,نابل,2109444,358448
2011,منزل الحبيب,قابس,1074420,197226
2011,السبيخة,القيروان,13999000,1868607
2011,بوسا لم,جندوبة,1675044,221493
2011,جندوبة الشما لية,جندوبة,900380,84681
2011,الهوارية,نابل,1383035,111324
2010,بني خلاد,نابل,4291496,454454
2011,بوعرادة,سليانة,507000,85382
2013,قلعة الأندلس,أريانة,1183596,125538
2011,منزل شاكر,صفاقس,2722401,415034
2012,ماطر,بنزرت,3590599,334694
2010,تاجروين,الكاف,1062100,111095
2010,الوسلاتية,القيروان,408000,77307
2010,الشابة,المهدية,6265000,629630
2010,حفوز,القيروان,448000,72814
2010,سوق الأحد,قبلي,334870,80257
2011,الزريبة,زغوان,630219,81783
2010,باجة الشما لية,باجة,3522272,330860
2010,قلعة الأندلس,أريانة,330182,51349
2011,بني خيار,نابل,14888162,860735
2011,جومين,بنزرت,1841382,252230
2010,سيدي الهاني,سوسة,103500,19883
2011,ساقية الزيت,صفاقس,206100,30979
2012,قلعة سنان,الكاف,557400,120753
2012,الوسلاتية,القيروان,403000,46774
2012,الشراردة,القيروان,1280000,179344
2012,القيروان الشما لية,القيروان,913000,161741
2012,جرزونة,بنزرت,448882,123754
2012,سيدي بوزيد الشرقية,سيدي بوزيد,3549615,639478
2012,قابس الجنوبية,قابس,2091031,465995
2012,سبيبة,القصرين,3442474,669238
2011,عمدون,باجة,730801,140644
2012,المحرس,صفاقس,1142258,211040
2012,نفزة,باجة,460283,89109
2011,حمام سوسة,سوسة,31000,1827
2011,سبا لة أولاد عسكر,سيدي بوزيد,686158,134301
2011,سليانة الشما لية,سليانة,410000,75711
2012,الدهماني,الكاف,2671107,554563
2012,قفصة الجنوبية,قفصة,2127484,445552
2012,البقا لطة,المنستير,396390,38814
2013,أم  العرائس,قفصة,4591968,1003200
2013,بئر الحفي,سيدي بوزيد,2996305,588844
2012,الجديدة,منــوبة,2013156,295763
2013,قصور الساف,المهدية,711000,89678
2012,باجة الشما لية,باجة,5999581,639546
2012,نابل,نابل,676036,128787
2012,مكثر,سليانة,1445000,322267
2012,القلعة الكبرى,سوسة,4131500,235912
2012,عمدون,باجة,378424,44196
2012,البطان,منــوبة,671553,145388
