olives,conduite_culturale,supeficie_cultivee_hectares,production_tonnes
زيتون زيت,en sec,1557,2077
زيتون مائدة,en sec,110,126
زيتون زيت,en irrigué,84,284
زيتون مائدة,en irrigué,10,66
